idINS;emp;emp_resident;idcom;IRIS;act
r200N2249200E3970800;0.11971668130366211;0.11971668130366211;13030;130300000;1.3390879482046276
r200N2249200E3971000;0.11477008501229136;0.11477008501229136;13030;130300000;2.94599348605018
r200N2249200E3971400;0.11971668130366211;0.11971668130366211;13030;130300000;1.47299674302509
r200N2249200E3972000;0.11763829086228753;0.11763829086228753;13030;130300000;1.4729967430250905
r200N2249200E3972200;0.11763829086228753;0.11763829086228753;13030;130300000;1.4729967430250905
r200N2249200E3972400;0.12799724963325138;0.12799724963325138;13030;130300000;0.3347719870511569
r200N2249200E3973400;0.11763829086228753;0.11763829086228753;13030;130300000;1.4729967430250905
r200N2249200E3974000;0.11763829086228753;0.11763829086228753;13030;130300000;1.8747231274864786
r200N2249200E3974200;0.10326852349285374;0.10326852349285374;13030;130300000;16.738599352557845
r200N2249200E3975800;0.2948949070840318;0.01426406096634981;83035;830350000;0.8500284895422655
r200N2249400E3944600;103.58997866047434;97.4719276006305;13208;132080101;NA
r200N2249400E3944800;8.95557019900987;8.382823259582665;13208;132080101;NA
r200N2249400E3945000;139.33236628163345;130.151145705503;13208;132080101;NA
r200N2249400E3945200;175.89900260740944;167.65401482698744;13208;132080102;NA
r200N2249400E3945400;114.70820608160534;107.63978733759566;13208;132081002;NA
r200N2249400E3945600;153.5864677242945;144.2730639728523;13208;132081004;NA
r200N2249400E3945800;8.34483214763585;7.811144513416803;13208;132080902;NA
r200N2249400E3946200;38.524633769692535;36.06081900482309;13208;132080902;NA
r200N2249400E3946400;106.47618296773622;99.83082563327825;13209;132090401;NA
r200N2249400E3946600;89.08988592540035;84.5098654804063;13209;132090401;NA
r200N2249400E3946800;192.36130572489918;182.10606414884074;13209;132090405;NA
r200N2249400E3947000;9.196478250881897;8.615725910621457;13209;132090402;NA
r200N2249400E3947400;52.7583744745058;50.081910449456544;13209;132090404;NA
r200N2249400E3947800;6.655260289631098;6.234984409799054;13209;132090204;NA
r200N2249400E3948400;32.84462233438971;31.195366303336446;13209;132090503;NA
r200N2249400E3950400;132.4416546250155;124.07803990499296;13209;132090902;NA
r200N2249400E3959000;166.4832355399438;152.55972765086221;13119;131190101;0.7699548503251629
r200N2249400E3960000;22.93587222883585;21.002795285709873;13119;131190103;80.20363024220445
r200N2249400E3960200;48.571478635839476;44.512245284827294;13119;131190102;16.040726048440888
r200N2249400E3960400;29.093777870307743;26.668842266885605;13119;131190103;13.474209880690347
r200N2249400E3960600;2.4856230689511563;2.2761302449612053;13119;131190103;25.344347156536607
r200N2249400E3960800;64.94207947178774;59.52922585843393;13119;131190103;9.945250150033353
r200N2249400E3961000;64.94207947178774;59.52922585843393;13119;131190103;7.5712226948641
r200N2249400E3961800;67.45447156319368;61.01180942134706;13085;130850000;0.40597663448873555
r200N2249400E3963400;0.02419815613961826;0.02419815613961826;13085;130850000;1.8268948551993096
r200N2249400E3963600;0.021494868094383127;0.021494868094383127;13085;130850000;16.23906537954942
r200N2249400E3963800;0.022382878979825147;0.022382878979825147;13085;130850000;6.630951696649348
r200N2249400E3964000;0.023347582161320102;0.023347582161320102;13085;130850000;3.3831386207394627
r200N2249400E3969400;0.12799724963325138;0.12799724963325138;13030;130300000;0.5356351792818511
r200N2249400E3970600;0.12270850696642528;0.12270850696642528;13030;130300000;0.870407166333008
r200N2249400E3970800;0.12270850696642528;0.12270850696642528;13030;130300000;0.870407166333008
r200N2249400E3971000;0.1160510469715408;0.1160510469715408;13030;130300000;2.477312704178561
r200N2249400E3971200;0.12270850696642528;0.12270850696642528;13030;130300000;1.0043159611534707
r200N2249400E3971400;0.12270850696642528;0.12270850696642528;13030;130300000;1.0043159611534707
r200N2249400E3971600;0.12270850696642528;0.12270850696642528;13030;130300000;1.0043159611534707
r200N2249400E3972000;0.11369808432660071;0.11369808432660071;13030;130300000;2.5442671015887925
r200N2249400E3972200;0.11125591172131605;0.11125591172131605;13030;130300000;3.7494462549729572
r200N2249400E3972400;0.11477008501229136;0.11477008501229136;13030;130300000;2.209495114537636
r200N2249400E3974000;0.1127775719802917;0.1127775719802917;13030;130300000;3.682491857562726
r200N2249400E3974200;0.23645703080546235;0.22119875869523342;13030;130300000;23.434039093580985
r200N2249400E3974400;1.415839827217618;1.271928710250818;13030;130300000;0.4686807818716197
r200N2249600E3944600;52.81470800236552;49.791339326600266;13208;132080101;NA
r200N2249600E3944800;102.79149565125648;93.67354745597672;13208;132080101;NA
r200N2249600E3945000;85.41255355323952;79.85799250812073;13208;132080101;NA
r200N2249600E3945200;5.634036220072606;5.273715555953936;13208;132080102;NA
r200N2249600E3945400;58.65469208291013;54.90347416746728;13208;132080102;NA
r200N2249600E3945600;107.18121618904078;100.32651993048812;13208;132080102;NA
r200N2249600E3945800;297.5412599319484;278.02855289346707;13208;132080102;NA
r200N2249600E3946200;73.91377411352435;70.56823506253157;13209;132090401;NA
r200N2249600E3946400;528.2712223451103;494.9111968766929;13209;132090401;NA
r200N2249600E3946600;47.49680562355014;44.49740952122946;13209;132090401;NA
r200N2249600E3946800;75.47672817543746;70.71041597121047;13209;132090401;NA
r200N2249600E3947600;220.16875898117044;206.2652278095189;13209;132090403;NA
r200N2249600E3948000;35.033589728372654;33.77560525911401;13209;132090204;NA
