fromidINS	km_i	co2_i	f_i	km_pa	co2_pa	com
r200N2290400E3910000	42302.021696752214	8.83255022625105	6.344807286943715	6667.187793678291	1.3920911742152655	13047
r200N2272600E3910600	14485.110586701829	2.942928249072942	2.6908375955927686	5383.12331090754	1.0936848265733554	13039
r200N2273400E3910600	153819.26351700487	32.082642960535594	29.59911718055442	5196.751733462467	1.0839054004493338	13039
r200N2274600E3910600	191212.38960323372	39.65068425292148	36.710648062265676	5208.635632879989	1.0800867417450422	13039
r200N2272000E3911000	148094.08291337796	30.429710160464612	26.180170716516383	5656.727166410313	1.162319011971427	13039
r200N2272800E3911000	9068.796592812496	1.9187101686938537	1.1532114468981765	7863.949510044389	1.6637973667835673	13039
r200N2289800E3911600	238643.755498015	50.55652112805065	29.07317751247741	8208.382293115214	1.7389403379232689	13047
r200N2290000E3911600	528000.6146761646	112.06880283590746	61.47140147676161	8589.370048375547	1.8231047307140618	13047
r200N2290000E3911800	8012.51614776506	1.707253964167409	0.8459743068278106	9471.346922827912	2.018091980321694	13047
r200N2279200E3913600	372490.54169104336	78.81300460386014	65.98599611349788	5644.993841577363	1.1943898591498023	13047
r200N2279800E3915000	779884.5231587593	155.247031364991	120.50395659039025	6471.858229599013	1.2883148052366222	13047
r200N2280400E3915000	700806.0073432839	139.7458965943155	107.90428739217256	6494.70029671982	1.2950912329036217	13047
r200N2278400E3915800	76746.76856998228	16.202244492594847	11.420653159960526	6719.998190562994	1.4186793229478345	13047
r200N2290200E3916200	4119.93873424822	0.8135872193356166	0.35275789889349396	11679.22461033857	2.3063614504100958	13063
r200N2298000E3916200	8145.329073764176	1.6713776195589192	0.759062209423482	10730.779338824763	2.2018980774031065	13035
r200N2287400E3917000	231082.46150650817	47.8902321627849	28.748992875014785	8037.932407271826	1.6658055595542411	13063
r200N2260400E3917800	358514.03538347676	69.03870605760775	48.89059314011953	7332.986007266924	1.4121061256046559	13056
r200N2264600E3917800	6836.326169403713	1.314878939926582	0.7332384831777286	9323.468866195157	1.793248677058144	13056
r200N2288200E3918000	178402.65184965087	37.03226633080659	20.830930456903218	8564.31508034388	1.7777538265716004	13063
r200N2299800E3919000	199814.7461162665	42.37684277056117	27.32623966232913	7312.193283283071	1.5507747606041897	13035
r200N2299800E3919400	67745.14045159957	14.353945246875956	9.48827752442396	7139.877630815022	1.5128083268988692	13035
r200N2261000E3919600	53297.93073917506	10.267258587497428	8.06099824946322	6611.827603699599	1.273695672639691	13056
r200N2268000E3919800	782764.6040403853	127.22165317740435	136.11296302609983	5750.845376059364	0.9346769796864199	13056
r200N2269000E3919800	166712.19374186135	27.58750875998059	28.19677795540887	5912.455458758601	0.9783922405463563	13056
r200N2269600E3919800	198706.2786789784	38.0198311852151	32.812612185840095	6055.789693108548	1.1586956554962156	13056
r200N2284800E3920200	56232.97558505069	11.769016109430696	6.877972262974351	8175.807263394367	1.7111171228162576	13092
r200N2286200E3920200	4604.1725224383	0.8746400501208135	0.3530723777858966	13040.307914515686	2.477225931990624	13063
r200N2293000E3920600	20775.282811602603	4.216701066515929	3.236050117170638	6419.950884372262	1.3030394814165298	13044
r200N2295200E3920600	39513.23687330255	8.413038998805982	5.4789070744514365	7211.88301542032	1.535532339658876	13103
r200N2291400E3921000	17861.639236386858	3.8165176353848618	2.0225313262649376	8831.328842442417	1.887000505664813	13044
r200N2298000E3921600	9226.260964968373	1.8658460596879967	0.7590622078900582	12154.81533537854	2.4580937376324288	13035
r200N2263200E3921800	48723.03094629408	9.642298422111764	5.682489294398846	8574.240693127169	1.6968440981694501	13056
r200N2295800E3922200	35085.87979488387	7.483158050342883	4.305385967306641	8149.299519558024	1.7380922656335476	13103
r200N2297400E3922200	15988.17204565108	3.2987736911505894	1.5655760920032935	10212.325116176751	2.107066981924536	13103
r200N2290200E3922800	226626.8275878522	48.10949704801095	30.742475781745696	7371.781934440653	1.5649194095349166	13044
r200N2299800E3923200	28158.218979680765	5.78383207400498	2.8365544598323	9926.909346681647	2.039034383407159	13049
r200N2300400E3923600	218335.288439987	46.392099094864655	29.988267243469675	7280.6903669144895	1.5470083255632958	13049
r200N2300600E3923600	16371.41399590031	3.524927488341163	1.6203555794609443	10103.59343555117	2.1754036786875055	13049
r200N2303800E3923800	27295.537144045822	5.6893902955446425	2.431424781115079	11226.149110616441	2.339940902031698	13049
r200N2292600E3925200	35299.418477440966	7.319010393258459	6.849551638474223	5153.537098568997	1.0685386109285266	13103
