IRIS	km_pa	f_i	co2_i	n	snv	ind	tx	prix	shape	dens
130010803	6645.473865184375	1833.760851379214	2370.3338458388303	70	30111.825752629673	4135.5	0.02111027239439256	5342.16354556804	Aix-en-Provence	6.549145897782907
130010804	7325.801295072998	1857.2696073849215	2705.1782132344724	198	32498.88466997871	4227	0.032221919369520347	8573.707518022657	Aix-en-Provence	2.34503738306177
130010901	4990.242017249308	1534.4039958849705	1309.7166432436795	49	23257.091508751626	3456.5	0.0063268674867345	5623.11286407767	Aix-en-Provence	7.828591815739645
130010902	6940.480778246064	1582.1631590571515	2151.3078564957887	219	30335.00968668765	3654.5	0.020129417412689365	6835.655877342419	Aix-en-Provence	1.806122327690812
130010903	5699.876354425044	2027.9140659985376	2217.064337873581	88	27670.55894909688	4567.5	0.024397150300090598	5210.521003500583	Aix-en-Provence	5.761119505677664
130010905	4308.274241466843	1151.1511027820982	889.4578795877962	23	24554.619695509733	2594.5	0.009677536557340938	4319.597989949749	Aix-en-Provence	12.512511986761936
130010906	5110.837805768378	455.6768866652177	418.2840716508655	106	27562.20634774609	1087	0.0334873082811733	6441.95652173913	Aix-en-Provence	1.0747096383613624
130010907	4212.100618531521	2438.488762904175	1915.8129070282673	84	25905.820110517256	5519.5	0.015627098281642438	4715.286283185841	Aix-en-Provence	7.257407032452901
130010908	5900.141689073041	1324.6803119746794	1518.3267013152551	154	26286.950040577827	3080.5	0.020803127443646874	5026.8421052631575	Aix-en-Provence	2.150455051906947
130020101	6584.121184158085	1745.8039304846595	2214.806332602093	90	27846.57987349051	4347.5	0.02758579252288973	5142.999044890163	autre	4.8494553624573875
130020102	5715.307905295879	1649.8163214610881	1797.566656114069	46	26940.2575968708	4090.5	0.030612893335688618	5088.2962962962965	autre	8.966393051418956
130020103	4510.708439279731	1010.9550920390751	804.727450140024	16	23916.380937251786	2518	0.016701045964867767	4090.3655555555556	autre	15.796173313110549
130020104	4333.170494745396	1007.6099308199559	808.0268762955801	28	28221.581352541016	2499	0.02303022176215075	4901.639344262295	autre	8.996517239463891
130020105	4353.36550562902	1492.8417282737164	1197.1696244405798	46	25612.53953613808	3708	0.021861356536566623	4209.6182397782395	autre	8.113270262357155
130020106	5355.899765336136	1685.7176845778606	1748.752950625303	125	28164.44852818496	4195.5	0.010435582426419954	4892.307692307692	autre	3.3714353691557215
130030000	8152.51460973279	1151.6253119902487	1980.0528909330335	129	25684.27654934966	2614	0.02000276897104092	3700.8314087759813	autre	2.231831999981102
130050101	3398.1140815819713	1147.3297277977488	555.9854990260573	5	18989.251450230717	3034	0.00696264252633072	2417.916063675832	autre	57.36648638988744
130050102	3774.618585467714	958.0157942789341	520.3453834123277	6	20878.893566104354	2549	0.012317522822220317	3029.794520547945	autre	39.917324761622254
130050201	4162.711631068801	1259.0608455838071	949.227020322384	19	22048.940036507454	3287	0.004404112784341052	3442.2268907563025	autre	16.566590073471147
130050202	3528.6209529219686	1317.7183691773532	739.7532329766448	7	20041.57976687293	3474.5	-3.7571782407186394e-4	2523.445463812436	autre	47.06137032776261
130050301	4208.720352754815	948.4596741132705	660.8231763045095	8	19546.023491552696	2486	0.00063530509975784355	2862.612612612613	autre	29.639364816039702
130050302	4675.154457160174	762.4966779682397	640.0677454213657	39	22177.799598191865	1991	0.022202311908744443	2859.1807909604518	autre	4.887799217745126
130050401	4473.685498146193	1089.3553539140166	875.0554399126268	36	23836.967269534678	2847.5	-0.0041860881964170815	3233.833824362606	autre	7.564967735514004
130050402	4039.0547580345383	839.957793427692	570.4765847391823	16	20295.093175614194	2198	-2.1505744535021964e-4	2416.417910447761	autre	13.124340522307687
130050403	5520.710064041305	836.1816599381725	899.3017197261356	46	23009.598213467703	2183	0.01842805773807643	4496.951219512195	autre	4.544465543142242
