COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;161;Angoulême;CHAR;4
CODGEO;Code géographique;Code géographique;162;Cognac;CHAR;4
CODGEO;Code géographique;Code géographique;163;Confolens;CHAR;4
CODGEO;Code géographique;Code géographique;171;Jonzac;CHAR;4
CODGEO;Code géographique;Code géographique;172;Rochefort;CHAR;4
CODGEO;Code géographique;Code géographique;173;La Rochelle;CHAR;4
CODGEO;Code géographique;Code géographique;174;Saintes;CHAR;4
CODGEO;Code géographique;Code géographique;175;Saint-Jean-d'Angély;CHAR;4
CODGEO;Code géographique;Code géographique;181;Bourges;CHAR;4
CODGEO;Code géographique;Code géographique;182;Saint-Amand-Montrond;CHAR;4
CODGEO;Code géographique;Code géographique;183;Vierzon;CHAR;4
CODGEO;Code géographique;Code géographique;191;Brive-la-Gaillarde;CHAR;4
CODGEO;Code géographique;Code géographique;192;Tulle;CHAR;4
CODGEO;Code géographique;Code géographique;193;Ussel;CHAR;4
CODGEO;Code géographique;Code géographique;211;Beaune;CHAR;4
CODGEO;Code géographique;Code géographique;212;Dijon;CHAR;4
CODGEO;Code géographique;Code géographique;213;Montbard;CHAR;4
CODGEO;Code géographique;Code géographique;221;Dinan;CHAR;4
CODGEO;Code géographique;Code géographique;222;Guingamp;CHAR;4
CODGEO;Code géographique;Code géographique;223;Lannion;CHAR;4
CODGEO;Code géographique;Code géographique;224;Saint-Brieuc;CHAR;4
CODGEO;Code géographique;Code géographique;231;Aubusson;CHAR;4
CODGEO;Code géographique;Code géographique;232;Guéret;CHAR;4
CODGEO;Code géographique;Code géographique;241;Bergerac;CHAR;4
CODGEO;Code géographique;Code géographique;242;Nontron;CHAR;4
CODGEO;Code géographique;Code géographique;243;Périgueux;CHAR;4
CODGEO;Code géographique;Code géographique;244;Sarlat-la-Canéda;CHAR;4
CODGEO;Code géographique;Code géographique;251;Besançon;CHAR;4
CODGEO;Code géographique;Code géographique;252;Montbéliard;CHAR;4
CODGEO;Code géographique;Code géographique;253;Pontarlier;CHAR;4
CODGEO;Code géographique;Code géographique;261;Die;CHAR;4
CODGEO;Code géographique;Code géographique;262;Nyons;CHAR;4
CODGEO;Code géographique;Code géographique;263;Valence;CHAR;4
CODGEO;Code géographique;Code géographique;271;Les Andelys;CHAR;4
CODGEO;Code géographique;Code géographique;272;Bernay;CHAR;4
CODGEO;Code géographique;Code géographique;273;Évreux;CHAR;4
CODGEO;Code géographique;Code géographique;281;Chartres;CHAR;4
CODGEO;Code géographique;Code géographique;282;Châteaudun;CHAR;4
CODGEO;Code géographique;Code géographique;283;Dreux;CHAR;4
CODGEO;Code géographique;Code géographique;284;Nogent-le-Rotrou;CHAR;4
CODGEO;Code géographique;Code géographique;291;Brest;CHAR;4
CODGEO;Code géographique;Code géographique;292;Châteaulin;CHAR;4
CODGEO;Code géographique;Code géographique;293;Morlaix;CHAR;4
CODGEO;Code géographique;Code géographique;294;Quimper;CHAR;4
CODGEO;Code géographique;Code géographique;2A1;Ajaccio;CHAR;4
CODGEO;Code géographique;Code géographique;2A4;Sartène;CHAR;4
CODGEO;Code géographique;Code géographique;2B2;Bastia;CHAR;4
CODGEO;Code géographique;Code géographique;2B3;Corte;CHAR;4
CODGEO;Code géographique;Code géographique;2B5;Calvi;CHAR;4
CODGEO;Code géographique;Code géographique;301;Alès;CHAR;4
CODGEO;Code géographique;Code géographique;302;Nîmes;CHAR;4
CODGEO;Code géographique;Code géographique;303;Le Vigan;CHAR;4
CODGEO;Code géographique;Code géographique;311;Muret;CHAR;4
CODGEO;Code géographique;Code géographique;312;Saint-Gaudens;CHAR;4
CODGEO;Code géographique;Code géographique;313;Toulouse;CHAR;4
CODGEO;Code géographique;Code géographique;321;Auch;CHAR;4
CODGEO;Code géographique;Code géographique;322;Condom;CHAR;4
CODGEO;Code géographique;Code géographique;323;Mirande;CHAR;4
CODGEO;Code géographique;Code géographique;331;Blaye;CHAR;4
CODGEO;Code géographique;Code géographique;332;Bordeaux;CHAR;4
CODGEO;Code géographique;Code géographique;333;Langon;CHAR;4
CODGEO;Code géographique;Code géographique;334;Lesparre-Médoc;CHAR;4
CODGEO;Code géographique;Code géographique;335;Libourne;CHAR;4
CODGEO;Code géographique;Code géographique;336;Arcachon;CHAR;4
CODGEO;Code géographique;Code géographique;341;Béziers;CHAR;4
CODGEO;Code géographique;Code géographique;342;Lodève;CHAR;4
CODGEO;Code géographique;Code géographique;343;Montpellier;CHAR;4
CODGEO;Code géographique;Code géographique;351;Fougères-Vitré;CHAR;4
CODGEO;Code géographique;Code géographique;352;Redon;CHAR;4
CODGEO;Code géographique;Code géographique;353;Rennes;CHAR;4
