CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
73601;84798;184520;23530;57.9;10.9;18;12.5;13.1;11.2;7;6.1;5;21.6;72.4;64.3;2.6;5.5;30.1;12.2;4.2;1.7;1.5;1;-18.9;12690;41590;3.3
74101;990;2201;25130;60;;;;;;;;;;69.9;53.8;2.8;13.3;23.8;25;2.3;1.4;0.6;0.3;-21;14230;46050;3.2
74102;819;2108;34870;44.6;;;;;;;;;;95.3;88.7;3;3.6;13.3;5.4;1.3;0.7;0.3;0.3;-15.3;15650;67250;4.3
74103;1006;2398;27920;53.7;;;;;;;;;;86.8;78.7;2.9;5.2;17.7;9.9;2;1.1;0.5;0.4;-16.4;14540;54010;3.7
74104;1141;2740;42190;45.3;;;;;;;;;;98;93.7;2.8;1.5;9.7;6.3;1;0.4;0.4;0.2;-15;17250;83320;4.8
74105;1283;3231;23660;59.8;7.8;;;;;;;;;82.2;76.3;2.8;3.1;20.9;11.6;3.8;2.3;0.9;0.6;-18.5;13970;39620;2.8
74106;1417;3328;23960;59.2;7.5;;;;;;;;;79.1;70.8;3.1;5.2;23.8;11.7;2.8;1.7;0.6;0.5;-17.4;14180;42490;3
74107;1506;3270;24610;61.9;7.7;;;;;;;;;81.7;67.3;3.7;10.7;19.6;17.1;2.1;1.1;0.6;0.4;-20.5;13830;46610;3.4
74108;1541;3876;31580;66.3;;;;;;;;;;89.6;82.6;2.7;4.3;15.9;11.1;1.6;0.9;0.4;0.3;-18.2;17180;63260;3.7
74109;1446;3299;41850;45.4;7.7;;;;;;;;;88.9;82.8;2.9;3.2;19.2;6.4;0.8;0.3;0.3;0.2;-15.3;14670;89300;6.1
74110;1559;3761;27040;70.4;;;;;;;;;;86;77.1;3;5.9;21.5;10.1;1.9;1.2;0.4;0.3;-19.5;16200;46750;2.9
74111;1851;3955;24800;59.6;10;;;;;;;8.3;;72.6;59.7;3.7;9.2;27.2;17.1;2.2;1.2;0.6;0.4;-19.1;13040;45710;3.5
74112;1911;4314;32950;54.3;6.4;;;;;;;;;88.4;81.2;3.2;4;16.1;10.3;1.5;0.6;0.5;0.4;-16.3;15470;67940;4.4
74113;1931;4343;24840;64.8;8.1;;;;;;;;;77.3;59.7;3.4;14.2;20;22.9;1.6;1;0.3;0.3;-21.8;13890;50230;3.6
74114;1732;4259;26070;56.3;8.2;;;;;;;;19.3;86.3;80.1;3.2;3;18.8;7.9;2.8;1.4;0.9;0.5;-15.8;13920;48000;3.4
74115;1981;4632;35460;42.6;8.3;;;;;;;;15.2;95.3;90.4;3.3;1.6;12.9;4.8;1.5;0.6;0.5;0.4;-14.5;14160;70840;5
74201;1892;4857;24700;60.1;6.9;;;;;;;;;88.9;82.2;2.6;4.1;17.3;7.2;3.4;2.1;0.8;0.5;-16.8;14460;38560;2.7
74202;2098;4868;37930;44.8;8.5;;;;;;;;18.5;94.6;88.8;2.9;2.9;13.5;6.1;1.3;0.6;0.4;0.3;-15.5;13920;73880;5.3
74203;2043;4894;33200;51.6;8.1;;;;;;;;;84.9;78.6;2.9;3.4;21.2;9;1.4;0.6;0.5;0.3;-16.5;14630;70110;4.8
74204;2049;5320;29660;57.2;5.2;;;;;;;;;87.6;81.3;2.8;3.5;18.3;8.6;1.7;1;0.4;0.3;-16.2;16170;56290;3.5
74205;2672;5910;30920;44.2;10.4;;;;;;;;19.4;91.4;85.7;3.5;2.2;15.1;6.5;2;0.8;0.7;0.5;-15;12800;65960;5.2
74206;2753;6485;33730;73.1;5.6;;;;;;;5;;70;59.3;2.3;8.4;24;33.7;0.8;0.4;0.2;0.2;-28.5;16210;82700;5.1
74207;2462;5936;39110;47.2;8.1;;;;;;;;16.1;91.1;84.3;3.4;3.4;16;8;1;0.4;0.4;0.2;-16.1;14510;82920;5.7
74208;2605;6586;31080;52.4;6.4;;;;;;;5;12.1;89.1;83.2;3.1;2.8;16.7;8.1;1.7;0.9;0.5;0.3;-15.6;15270;62810;4.1
74209;3737;8360;22640;55.7;10.4;;;13;;;;5;22.3;69.3;62.5;3.1;3.7;33.8;8.8;4.4;2.1;1.4;0.9;-16.3;12790;35270;2.8
