COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;057;Vannes;CHAR;3
CODGEO;Code géographique;Code géographique;058;Colmar;CHAR;3
CODGEO;Code géographique;Code géographique;059;Douai;CHAR;3
CODGEO;Code géographique;Code géographique;060;Béziers;CHAR;3
CODGEO;Code géographique;Code géographique;061;Montbéliard;CHAR;3
CODGEO;Code géographique;Code géographique;062;Angoulême;CHAR;3
CODGEO;Code géographique;Code géographique;063;Niort;CHAR;3
CODGEO;Code géographique;Code géographique;064;Bourges;CHAR;3
CODGEO;Code géographique;Code géographique;065;Chartres;CHAR;3
CODGEO;Code géographique;Code géographique;066;La Roche-sur-Yon;CHAR;3
CODGEO;Code géographique;Code géographique;067;Cholet;CHAR;3
CODGEO;Code géographique;Code géographique;068;Boulogne-sur-Mer;CHAR;3
CODGEO;Code géographique;Code géographique;069;Arras;CHAR;3
CODGEO;Code géographique;Code géographique;070;Chalon-sur-Saône;CHAR;3
CODGEO;Code géographique;Code géographique;071;Cherbourg-en-Cotentin;CHAR;3
CODGEO;Code géographique;Code géographique;072;Narbonne;CHAR;3
CODGEO;Code géographique;Code géographique;073;Calais;CHAR;3
CODGEO;Code géographique;Code géographique;074;Blois;CHAR;3
CODGEO;Code géographique;Code géographique;075;Laval;CHAR;3
CODGEO;Code géographique;Code géographique;076;Beauvais;CHAR;3
CODGEO;Code géographique;Code géographique;077;Maubeuge (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;078;Compiègne;CHAR;3
CODGEO;Code géographique;Code géographique;079;Roanne;CHAR;3
CODGEO;Code géographique;Code géographique;080;Bourg-en-Bresse;CHAR;3
CODGEO;Code géographique;Code géographique;081;Montauban;CHAR;3
CODGEO;Code géographique;Code géographique;082;Albi;CHAR;3
CODGEO;Code géographique;Code géographique;083;Évreux;CHAR;3
CODGEO;Code géographique;Code géographique;084;Mâcon;CHAR;3
CODGEO;Code géographique;Code géographique;085;Tarbes;CHAR;3
CODGEO;Code géographique;Code géographique;086;Belfort;CHAR;3
CODGEO;Code géographique;Code géographique;087;Brive-la-Gaillarde;CHAR;3
CODGEO;Code géographique;Code géographique;088;Saint-Malo;CHAR;3
CODGEO;Code géographique;Code géographique;089;Alès;CHAR;3
CODGEO;Code géographique;Code géographique;090;Charleville-Mézières;CHAR;3
CODGEO;Code géographique;Code géographique;091;Carcassonne;CHAR;3
CODGEO;Code géographique;Code géographique;092;Fréjus;CHAR;3
CODGEO;Code géographique;Code géographique;093;Agen;CHAR;3
CODGEO;Code géographique;Code géographique;094;Saint-Quentin;CHAR;3
CODGEO;Code géographique;Code géographique;095;Épinal;CHAR;3
CODGEO;Code géographique;Code géographique;096;Saint-Omer;CHAR;3
CODGEO;Code géographique;Code géographique;097;Nevers;CHAR;3
CODGEO;Code géographique;Code géographique;098;Ajaccio;CHAR;3
CODGEO;Code géographique;Code géographique;100;Châteauroux;CHAR;3
CODGEO;Code géographique;Code géographique;101;Périgueux;CHAR;3
CODGEO;Code géographique;Code géographique;102;Auxerre;CHAR;3
CODGEO;Code géographique;Code géographique;103;Rodez;CHAR;3
CODGEO;Code géographique;Code géographique;104;Bastia;CHAR;3
CODGEO;Code géographique;Code géographique;105;Castres;CHAR;3
CODGEO;Code géographique;Code géographique;106;Mont-de-Marsan;CHAR;3
CODGEO;Code géographique;Code géographique;107;Montélimar;CHAR;3
CODGEO;Code géographique;Code géographique;108;Cambrai;CHAR;3
CODGEO;Code géographique;Code géographique;109;Montluçon;CHAR;3
CODGEO;Code géographique;Code géographique;110;Vichy;CHAR;3
CODGEO;Code géographique;Code géographique;111;Dax;CHAR;3
CODGEO;Code géographique;Code géographique;112;Châlons-en-Champagne;CHAR;3
CODGEO;Code géographique;Code géographique;113;Lannion;CHAR;3
CODGEO;Code géographique;Code géographique;114;Dieppe;CHAR;3
CODGEO;Code géographique;Code géographique;115;Le Puy-en-Velay;CHAR;3
CODGEO;Code géographique;Code géographique;116;Alençon;CHAR;3
CODGEO;Code géographique;Code géographique;117;Châtellerault;CHAR;3
CODGEO;Code géographique;Code géographique;118;Sens;CHAR;3
CODGEO;Code géographique;Code géographique;119;Gap;CHAR;3
CODGEO;Code géographique;Code géographique;120;Saintes;CHAR;3
CODGEO;Code géographique;Code géographique;121;Sarreguemines (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;122;Moulins;CHAR;3
CODGEO;Code géographique;Code géographique;123;Aurillac;CHAR;3
CODGEO;Code géographique;Code géographique;124;Saint-Lô;CHAR;3
CODGEO;Code géographique;Code géographique;125;Béthune;CHAR;3
CODGEO;Code géographique;Code géographique;126;Draguignan;CHAR;3
CODGEO;Code géographique;Code géographique;127;Haguenau;CHAR;3
CODGEO;Code géographique;Code géographique;128;Soissons;CHAR;3
CODGEO;Code géographique;Code géographique;129;Bergerac;CHAR;3
CODGEO;Code géographique;Code géographique;130;Montargis;CHAR;3
CODGEO;Code géographique;Code géographique;131;Royan;CHAR;3
CODGEO;Code géographique;Code géographique;132;Lons-le-Saunier;CHAR;3
CODGEO;Code géographique;Code géographique;133;Saumur;CHAR;3
CODGEO;Code géographique;Code géographique;134;Dole;CHAR;3
CODGEO;Code géographique;Code géographique;135;Salon-de-Provence;CHAR;3
CODGEO;Code géographique;Code géographique;136;Laon;CHAR;3
CODGEO;Code géographique;Code géographique;137;Manosque;CHAR;3
CODGEO;Code géographique;Code géographique;138;Vesoul;CHAR;3
CODGEO;Code géographique;Code géographique;139;Les Sables-d'Olonne;CHAR;3
CODGEO;Code géographique;Code géographique;140;Rochefort;CHAR;3
CODGEO;Code géographique;Code géographique;141;Romans-sur-Isère;CHAR;3
CODGEO;Code géographique;Code géographique;142;Saint-Dié-des-Vosges;CHAR;3
CODGEO;Code géographique;Code géographique;143;Aubenas;CHAR;3
CODGEO;Code géographique;Code géographique;144;Louviers;CHAR;3
CODGEO;Code géographique;Code géographique;145;Auch;CHAR;3
CODGEO;Code géographique;Code géographique;146;Saint-Dizier;CHAR;3
CODGEO;Code géographique;Code géographique;147;Roussillon;CHAR;3
CODGEO;Code géographique;Code géographique;148;Carpentras;CHAR;3
CODGEO;Code géographique;Code géographique;149;Morlaix;CHAR;3
CODGEO;Code géographique;Code géographique;150;Arles;CHAR;3
CODGEO;Code géographique;Code géographique;151;Thonon-les-Bains;CHAR;3
CODGEO;Code géographique;Code géographique;152;Cognac;CHAR;3
CODGEO;Code géographique;Code géographique;153;Cahors;CHAR;3
CODGEO;Code géographique;Code géographique;154;Villeneuve-sur-Lot;CHAR;3
CODGEO;Code géographique;Code géographique;155;Ancenis-Saint-Géréon;CHAR;3
CODGEO;Code géographique;Code géographique;156;Auchel - Lillers;CHAR;3
CODGEO;Code géographique;Code géographique;157;Épernay;CHAR;3
CODGEO;Code géographique;Code géographique;158;Sélestat;CHAR;3
CODGEO;Code géographique;Code géographique;159;Libourne;CHAR;3
CODGEO;Code géographique;Code géographique;160;Chaumont;CHAR;3
CODGEO;Code géographique;Code géographique;161;Annonay;CHAR;3
CODGEO;Code géographique;Code géographique;162;Lisieux;CHAR;3
CODGEO;Code géographique;Code géographique;163;Cluses;CHAR;3
CODGEO;Code géographique;Code géographique;164;Abbeville;CHAR;3
CODGEO;Code géographique;Code géographique;165;Orange;CHAR;3
CODGEO;Code géographique;Code géographique;166;Agde;CHAR;3
CODGEO;Code géographique;Code géographique;167;Albertville;CHAR;3
CODGEO;Code géographique;Code géographique;168;Oyonnax;CHAR;3
CODGEO;Code géographique;Code géographique;169;Vitré;CHAR;3
CODGEO;Code géographique;Code géographique;170;Sarrebourg;CHAR;3
CODGEO;Code géographique;Code géographique;171;Flers;CHAR;3
CODGEO;Code géographique;Code géographique;172;Fougères;CHAR;3
CODGEO;Code géographique;Code géographique;173;Les Herbiers;CHAR;3
CODGEO;Code géographique;Code géographique;174;Beaune;CHAR;3
CODGEO;Code géographique;Code géographique;175;Marmande;CHAR;3
CODGEO;Code géographique;Code géographique;176;Montceau-les-Mines;CHAR;3
CODGEO;Code géographique;Code géographique;177;Bar-le-Duc;CHAR;3
CODGEO;Code géographique;Code géographique;178;Saint-Avold (partie française);CHAR;3
