CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
32;84678;182203;20820;43.9;14.9;22.5;16.2;15.9;15;11.4;15.7;9.7;28.2;64.2;53.8;2.6;7.8;34.9;11.3;5.3;1.8;2.3;1.2;-15.7;11480;35370;3.1
33;697150;1556274;22400;53.6;12.6;22;14.1;13.6;12.3;8.7;9.2;5.7;23.7;76.1;66.6;3.3;6.2;27.7;9.6;5.2;1.8;2.1;1.3;-18.6;12090;39330;3.3
34;511075;1114021;20330;45.8;19.7;31.6;22.7;22.6;20.2;14.1;12.4;9.3;34.2;68.8;57.9;3.8;7.1;31.4;10.6;7;2.2;3;1.8;-17.8;10300;37080;3.6
35;444024;1019603;22230;51.4;10.5;20.1;11.9;11;9.4;6.7;7.7;5;24.2;76.2;68.2;2.7;5.3;26.4;9.7;5.3;2.3;1.8;1.2;-17.6;12860;37370;2.9
36;101485;209427;20200;42.9;14.5;24.3;18;17;14.5;10.1;10.9;8.2;30.1;61.9;53.9;2.6;5.4;38.2;8.9;5.9;1.9;2.6;1.4;-14.9;11690;32620;2.8
37;269432;593494;21750;50.3;13;23.2;15.4;14.4;12.5;8.6;8.1;5;27.8;71.7;64;2.8;4.9;31.1;8.9;5.5;2.1;2.1;1.3;-17.2;12030;37140;3.1
38;520308;1221592;22950;54.9;11.3;19.7;13.2;12.7;10.5;7.5;7.6;5;25;76.1;68.9;2.8;4.4;26.7;10;4.9;2.2;1.6;1.1;-17.7;12550;39200;3.1
39;115221;252926;21700;50;11.8;16.8;13.9;13.7;11.5;8.4;9.1;6.1;25.5;70.7;63;2.7;5;32.3;8.3;4.9;2;1.8;1.1;-16.2;12470;36580;2.9
40;185047;407586;21360;48.4;11.8;19;13.7;13.8;12;8.1;9.6;6.5;23.7;65.4;56;3.2;6.2;35.9;10.2;4.8;1.8;1.9;1.1;-16.3;12440;35240;2.8
41;145295;321353;21380;49.5;12.6;19.7;16.9;15.4;12.5;7.8;7.2;5.9;29.2;66.9;59;2.8;5.1;35.1;8.9;5.2;2.1;2;1.1;-16.1;12170;35100;2.9
42;324748;733274;20770;45.3;15;24.3;17.9;17.9;14.9;9.5;9.1;6.2;31.4;68.5;60.9;2.8;4.8;31.4;9.9;6.3;2.5;2.3;1.5;-16.1;11490;34680;3
43;100452;222010;20800;42.8;12.1;17.9;12.7;13.6;11.9;9.1;11.4;7.7;25.3;65.9;56.4;2.6;6.9;32.9;10.7;5.6;2.2;2.2;1.2;-15.1;12370;33500;2.7
44;602174;1378126;22600;53.2;10.3;17.8;11.2;11.1;10.1;6.8;7.4;5;24.1;76.4;68.6;2.9;4.9;26.9;9.4;5.1;2.2;1.8;1.1;-17.8;12930;38000;2.9
45;284701;658374;21960;53.7;13.2;21.3;16.6;15.6;12.3;8.5;6.6;5.1;29;72.8;65.8;2.8;4.2;30.2;8.7;5.5;2.4;1.8;1.3;-17.2;11930;36930;3.1
46;78777;162860;20740;44.9;15;22.6;18.1;17.9;16.1;10.6;12.9;10.1;28.9;58.6;48.7;2.8;7.1;41.2;11;5;1.7;2.2;1.1;-15.8;11460;34840;3
47;146059;317408;19930;42;17;23.8;19.4;19.5;17.3;12.8;14.3;10.3;31.4;63.8;54;3.2;6.6;35.4;10.1;6.3;2.2;2.6;1.5;-15.6;11120;33710;3
48;33007;69916;20420;43.2;14.5;19;16.1;15.6;14.2;11.2;15.1;9.8;25.5;64.7;53.5;2.4;8.8;34.3;10.5;5.5;2;2.3;1.2;-15;11720;33340;2.8
49;336202;784657;21110;45.6;11.4;18.8;13;12.6;11.3;7.3;7.5;5;25.8;72.5;64.2;2.8;5.5;29;8.6;5.7;2.6;1.8;1.3;-15.8;12560;34540;2.7
50;222916;486103;20980;45.6;12;17.1;13.9;14.1;12.2;8.2;10;6.5;23.8;66.4;57.6;2.5;6.3;34.6;9;5.4;2.1;2.1;1.2;-15.4;12400;34300;2.8
51;241140;535969;21650;52.6;14.4;25.6;18;16.4;13.2;8.6;7.7;5;27.7;74.2;62;2.6;9.6;27.7;10.9;5.6;2.1;2.1;1.4;-18.4;11620;39040;3.4
52;77937;166785;20190;44.2;14.9;21.7;18.6;18.2;14.9;10;10.6;7.8;30.3;64.4;55.9;2.7;5.8;35.6;8.7;6.2;2.2;2.6;1.4;-14.9;11580;32600;2.8
53;128112;297783;20830;44.5;11.5;17.1;12.9;12.6;11.6;7.8;9.4;6.1;25.6;70.3;62.2;2.4;5.7;30.5;9.1;5.4;2.7;1.6;1.1;-15.3;12560;32940;2.6
54;308112;681845;21480;46.6;15.4;27.3;18.7;17.9;14.2;9.5;8.9;6.4;32;66.7;59;2.7;5;29;14.6;5.9;2;2.4;1.5;-16.2;11220;37350;3.3
55;79155;175770;20590;43.7;14.5;22.8;17.6;16.2;14.3;10.4;10.7;8;30.9;65.5;56.7;2.6;6.2;33;10.4;5.9;2.2;2.4;1.3;-14.8;11650;33510;2.9
56;338747;742994;21600;49.1;11.2;19.1;13.1;12.9;11.9;7.2;8.5;6.2;25;65.2;56;2.9;6.3;36.4;10;4.9;2;1.8;1.1;-16.5;12640;35900;2.8
57;434279;983866;21650;44.1;15.3;24.4;19.9;18.4;13.5;9.8;9.8;7;30.3;60.9;54;2.8;4.1;27.5;20.9;5.2;1.8;2.1;1.3;-14.5;11290;39190;3.5
58;96284;194419;20320;45;15.7;24.9;20.5;19.4;17.2;10.9;9.2;9.1;32.2;59;50.9;2.3;5.8;41.3;8.8;6.3;1.9;3;1.4;-15.4;11320;33100;2.9
59;1046522;2478125;20040;45.5;19.1;29.6;21.7;21.5;18.6;12.9;11.3;7.6;35.9;74.2;65.9;3.2;5.1;26.2;8.2;8;2.8;3.3;1.9;-16.6;10650;35850;3.4
60;325346;800907;22150;54.5;12.9;19.8;15.6;14.6;12.1;8.7;7.6;5.1;27.3;77.7;70.4;2.9;4.4;26.3;8;5.6;2.5;2;1.1;-17.6;12030;37560;3.1
61;122706;265641;20140;42.9;15.4;23.8;19.5;18.8;16.5;9.9;9.4;8.1;31.5;62.6;54.1;2.6;5.9;36.2;10.6;5.9;2.3;2.2;1.4;-15.3;11400;32520;2.9
62;603201;1435859;19200;41.1;19.3;31.1;23;21.4;18.5;12.4;12.5;7.8;36.5;70.6;62.4;3.1;5.1;29.2;7.2;8.3;3;3.3;2;-15.3;10810;32400;3
63;289505;621605;21890;50.8;13.2;23.5;15.2;14.3;12.9;9;9.5;6.3;28.2;71;63.1;2.6;5.3;31.2;10.1;5;1.9;1.9;1.2;-17.3;11930;37300;3.1
