COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;2409;Montargis;CHAR;4
CODGEO;Code géographique;Code géographique;2410;Orléans;CHAR;4
CODGEO;Code géographique;Code géographique;2411;Pithiviers;CHAR;4
CODGEO;Code géographique;Code géographique;2412;Romorantin-Lanthenay;CHAR;4
CODGEO;Code géographique;Code géographique;2413;Tours;CHAR;4
CODGEO;Code géographique;Code géographique;2414;Vendôme;CHAR;4
CODGEO;Code géographique;Code géographique;2415;Vierzon;CHAR;4
CODGEO;Code géographique;Code géographique;2701;Autun;CHAR;4
CODGEO;Code géographique;Code géographique;2702;Auxerre;CHAR;4
CODGEO;Code géographique;Code géographique;2703;Avallon;CHAR;4
CODGEO;Code géographique;Code géographique;2704;Beaune;CHAR;4
CODGEO;Code géographique;Code géographique;2705;Belfort;CHAR;4
CODGEO;Code géographique;Code géographique;2706;Besançon;CHAR;4
CODGEO;Code géographique;Code géographique;2707;Chalon-sur-Saône;CHAR;4
CODGEO;Code géographique;Code géographique;2708;Charolais;CHAR;4
CODGEO;Code géographique;Code géographique;2709;Châtillon-Montbard;CHAR;4
CODGEO;Code géographique;Code géographique;2710;Creusot-Montceau;CHAR;4
CODGEO;Code géographique;Code géographique;2711;Dijon;CHAR;4
CODGEO;Code géographique;Code géographique;2712;Dole;CHAR;4
CODGEO;Code géographique;Code géographique;2713;Lons-le-Saunier;CHAR;4
CODGEO;Code géographique;Code géographique;2714;Montbéliard;CHAR;4
CODGEO;Code géographique;Code géographique;2715;Pontarlier;CHAR;4
CODGEO;Code géographique;Code géographique;2716;Saint-Claude;CHAR;4
CODGEO;Code géographique;Code géographique;2717;Sens;CHAR;4
CODGEO;Code géographique;Code géographique;2718;Vesoul;CHAR;4
CODGEO;Code géographique;Code géographique;2801;Argentan;CHAR;4
CODGEO;Code géographique;Code géographique;2802;Avranches;CHAR;4
CODGEO;Code géographique;Code géographique;2803;Bernay;CHAR;4
CODGEO;Code géographique;Code géographique;2804;Caen;CHAR;4
CODGEO;Code géographique;Code géographique;2805;Cherbourg en Cotentin;CHAR;4
CODGEO;Code géographique;Code géographique;2806;Coutances;CHAR;4
CODGEO;Code géographique;Code géographique;2807;Dieppe-Caux maritime;CHAR;4
CODGEO;Code géographique;Code géographique;2808;Evreux;CHAR;4
CODGEO;Code géographique;Code géographique;2809;Flers;CHAR;4
CODGEO;Code géographique;Code géographique;2810;Granville;CHAR;4
CODGEO;Code géographique;Code géographique;2811;Honfleur Pont-Audemer;CHAR;4
CODGEO;Code géographique;Code géographique;2812;L'Aigle;CHAR;4
CODGEO;Code géographique;Code géographique;2813;Le Havre;CHAR;4
CODGEO;Code géographique;Code géographique;2814;Lisieux;CHAR;4
CODGEO;Code géographique;Code géographique;2815;Rouen;CHAR;4
CODGEO;Code géographique;Code géographique;2816;Saint-Lô;CHAR;4
CODGEO;Code géographique;Code géographique;2817;Vernon-Gisors;CHAR;4
CODGEO;Code géographique;Code géographique;2818;Vire Normandie;CHAR;4
CODGEO;Code géographique;Code géographique;2819;Yvetot-Vallée du Commerce;CHAR;4
CODGEO;Code géographique;Code géographique;3201;Abbeville;CHAR;4
CODGEO;Code géographique;Code géographique;3202;Amiens;CHAR;4
CODGEO;Code géographique;Code géographique;3203;Arras;CHAR;4
CODGEO;Code géographique;Code géographique;3204;Berck;CHAR;4
CODGEO;Code géographique;Code géographique;3205;Béthune;CHAR;4
CODGEO;Code géographique;Code géographique;3206;Boulogne-sur-Mer;CHAR;4
CODGEO;Code géographique;Code géographique;3207;Calais;CHAR;4
CODGEO;Code géographique;Code géographique;3208;Cambrai;CHAR;4
CODGEO;Code géographique;Code géographique;3209;Château-Thierry;CHAR;4
CODGEO;Code géographique;Code géographique;3210;Compiègne;CHAR;4
CODGEO;Code géographique;Code géographique;3211;Creil;CHAR;4
CODGEO;Code géographique;Code géographique;3212;Douai;CHAR;4
CODGEO;Code géographique;Code géographique;3213;Dunkerque;CHAR;4
CODGEO;Code géographique;Code géographique;3214;Laon;CHAR;4
CODGEO;Code géographique;Code géographique;3215;Lens;CHAR;4
CODGEO;Code géographique;Code géographique;3216;Lille;CHAR;4
CODGEO;Code géographique;Code géographique;3217;Maubeuge;CHAR;4
CODGEO;Code géographique;Code géographique;3218;Roubaix-Tourcoing;CHAR;4
CODGEO;Code géographique;Code géographique;3219;Saint-Omer;CHAR;4
CODGEO;Code géographique;Code géographique;3220;Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code géographique;3221;Soissons;CHAR;4
CODGEO;Code géographique;Code géographique;3222;Valenciennes;CHAR;4
CODGEO;Code géographique;Code géographique;4401;Bar-le-Duc;CHAR;4
CODGEO;Code géographique;Code géographique;4402;Châlons-en-Champagne;CHAR;4
CODGEO;Code géographique;Code géographique;4403;Charleville-Mézières;CHAR;4
CODGEO;Code géographique;Code géographique;4404;Chaumont;CHAR;4
CODGEO;Code géographique;Code géographique;4405;Colmar;CHAR;4
CODGEO;Code géographique;Code géographique;4406;Épernay;CHAR;4
CODGEO;Code géographique;Code géographique;4407;Épinal;CHAR;4
CODGEO;Code géographique;Code géographique;4408;Forbach;CHAR;4
CODGEO;Code géographique;Code géographique;4409;Haguenau;CHAR;4
CODGEO;Code géographique;Code géographique;4410;Metz;CHAR;4
CODGEO;Code géographique;Code géographique;4411;Mulhouse;CHAR;4
CODGEO;Code géographique;Code géographique;4412;Nancy;CHAR;4
CODGEO;Code géographique;Code géographique;4413;Reims;CHAR;4
CODGEO;Code géographique;Code géographique;4414;Remiremont;CHAR;4
CODGEO;Code géographique;Code géographique;4415;Romilly-sur-Seine;CHAR;4
CODGEO;Code géographique;Code géographique;4416;Saint-Avold;CHAR;4
CODGEO;Code géographique;Code géographique;4417;Saint-Dié-des-Vosges;CHAR;4
CODGEO;Code géographique;Code géographique;4418;Saint-Louis;CHAR;4
CODGEO;Code géographique;Code géographique;4419;Sarrebourg;CHAR;4
CODGEO;Code géographique;Code géographique;4420;Sarreguemines;CHAR;4
CODGEO;Code géographique;Code géographique;4421;Sedan;CHAR;4
CODGEO;Code géographique;Code géographique;4422;Sélestat;CHAR;4
CODGEO;Code géographique;Code géographique;4423;Strasbourg;CHAR;4
CODGEO;Code géographique;Code géographique;4424;Thionville;CHAR;4
CODGEO;Code géographique;Code géographique;4425;Troyes;CHAR;4
CODGEO;Code géographique;Code géographique;4426;Verdun;CHAR;4
CODGEO;Code géographique;Code géographique;4427;Vitry-le-François Saint-Dizier;CHAR;4
CODGEO;Code géographique;Code géographique;5201;Ancenis;CHAR;4
CODGEO;Code géographique;Code géographique;5202;Angers;CHAR;4
CODGEO;Code géographique;Code géographique;5203;Challans;CHAR;4
CODGEO;Code géographique;Code géographique;5204;Château-Gontier;CHAR;4
CODGEO;Code géographique;Code géographique;5205;Châteaubriant;CHAR;4
CODGEO;Code géographique;Code géographique;5206;Cholet;CHAR;4
CODGEO;Code géographique;Code géographique;5207;Fontenay-le-Comte;CHAR;4
CODGEO;Code géographique;Code géographique;5208;La Ferté-Bernard;CHAR;4
CODGEO;Code géographique;Code géographique;5209;La Flèche;CHAR;4
CODGEO;Code géographique;Code géographique;5210;La Roche-sur-Yon;CHAR;4
CODGEO;Code géographique;Code géographique;5211;Laval;CHAR;4
CODGEO;Code géographique;Code géographique;5212;Le Mans;CHAR;4
CODGEO;Code géographique;Code géographique;5213;Les Herbiers-Montaigu;CHAR;4
CODGEO;Code géographique;Code géographique;5214;Les Sables-d'Olonne;CHAR;4
CODGEO;Code géographique;Code géographique;5215;Mayenne;CHAR;4
CODGEO;Code géographique;Code géographique;5216;Nantes;CHAR;4
CODGEO;Code géographique;Code géographique;5217;Pornic;CHAR;4
CODGEO;Code géographique;Code géographique;5218;Sablé-sur-Sarthe;CHAR;4
CODGEO;Code géographique;Code géographique;5219;Saint-Nazaire;CHAR;4
CODGEO;Code géographique;Code géographique;5220;Saumur;CHAR;4
CODGEO;Code géographique;Code géographique;5221;Segré-en-Anjou Bleu;CHAR;4
CODGEO;Code géographique;Code géographique;5301;Auray;CHAR;4
CODGEO;Code géographique;Code géographique;5302;Brest;CHAR;4
