CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
4408;45592;103466;18960;40.1;21.9;32.6;31.7;29.1;18.7;13.8;12.7;9;36.9;66.7;59.7;3.4;3.6;33.3;7.2;7.9;2.3;3.6;2;-15.1;10130;34390;3.4
4409;102243;243681;23530;57;9.1;16.4;11.2;10.6;8.1;6.3;7.2;5;22.5;78.5;72.2;2.4;3.9;27.2;8.1;3.5;1.6;1.2;0.7;-17.3;13420;39110;2.9
4410;185362;412647;21850;47.8;15.2;25.4;19.6;18.1;13.6;9.3;8.8;6.2;29.1;66.3;58.7;2.8;4.8;27.6;16.7;5.5;1.9;2.2;1.4;-16.1;11300;39140;3.5
4411;181140;421006;22080;53;14.9;22.7;18.8;18.4;13.9;9.6;7.3;5.8;30.1;75.9;68.8;3.2;3.9;28.5;8;5.4;2.2;1.9;1.3;-17.8;11460;40240;3.5
4412;235335;517474;21650;50.8;14.5;27.4;17.7;17;13;8.6;7.5;5.1;30.8;73.2;65;2.6;5.6;29.9;8.7;6;2.1;2.4;1.5;-17.8;11500;37280;3.2
4413;137642;306189;21560;51.9;15.9;27.7;19.3;17.8;14.6;9.4;8;5;28.4;75.8;65.1;2.7;8;26.8;9.8;6.2;2.2;2.4;1.6;-18.6;11190;39590;3.5
4414;39769;84895;20290;42.6;13.4;20.3;16;16.5;14.2;9.8;8;7.3;28.8;64.2;56.6;3;4.6;36.1;10;5;1.9;1.9;1.2;-15.3;12030;33110;2.8
4415;36343;82530;20560;47.4;15;21.2;18.8;18.4;14.5;10.7;7.4;7.6;31;68.3;56.4;2.9;9;30.6;11.3;5.9;2.5;2.1;1.3;-16.1;11590;35010;3
4416;52232;120497;20860;46.2;15;24.9;20.6;18.6;12.7;9.7;9.6;7.8;30.8;68.2;60.9;3.3;4;32.4;8.6;5.7;2.1;2.3;1.3;-14.9;11520;34540;3
4417;39808;85595;19670;40.7;16.8;26.8;21.9;20.3;17.6;10.6;9.2;8.4;34.7;64.5;56.2;3.6;4.7;35.2;8.5;6.6;2.3;2.7;1.6;-14.8;11180;31950;2.9
4418;44932;105374;29810;69;8.5;12;10.7;9.1;7.5;6.7;6.1;5;20.7;90;84.9;3;2.1;23.7;7;2;0.8;0.7;0.5;-22.7;13960;59260;4.2
4419;47820;109101;21240;47.1;12.7;21.3;16.3;14.2;11.2;9.3;9.4;7;27.7;70.8;63.1;2.6;5.1;31.3;8.4;5.1;2;2;1.1;-15.6;12180;34680;2.8
4420;53384;122746;21540;47.5;12.8;21.6;18;15;11.1;8.5;9.4;6.8;29.5;72.4;65.3;2.9;4.2;29.9;8.7;4.9;1.8;2;1.1;-15.9;12090;35880;3
4421;41626;92398;19500;39.2;19;29.9;23.2;21.2;18.5;13.9;12.4;9.7;37.3;63.3;54.3;2.8;6.2;31.9;11.3;7.5;2.4;3.3;1.8;-14;10680;32350;3
4422;43878;104704;22920;54.8;9.7;16.7;12.3;11.1;8.3;6.5;7.1;5;22.2;77.1;70;2.6;4.5;26.7;9.3;4.1;1.9;1.4;0.8;-17.2;13150;37610;2.9
4423;305331;693639;22230;54.7;16.1;25.1;20.1;19.4;14.6;10.2;7.5;5;28.8;76.7;68.5;2.8;5.4;26.6;10.4;5.5;2;2.1;1.4;-19.2;11070;40480;3.7
4424;146335;335393;22590;33;16.1;22.9;19.1;18.7;15.1;10.9;11.7;8.7;32;38.4;33;2.5;2.9;21.9;45.6;3.9;1.2;1.7;1;-9.8;10740;43290;4
4425;109981;240465;20560;47;15.9;28.2;20.8;18.1;14.9;10.3;7.8;5.7;33.1;69;57.1;3;8.9;30.6;10.3;6.8;2.4;2.7;1.7;-16.7;11270;36120;3.2
4426;32773;73121;20450;42.5;14.9;22.9;18;15.8;14.5;10.7;11.8;7.9;30.7;66.1;56.5;2.6;7;31.8;10.5;6.2;2.3;2.5;1.4;-14.6;11510;33620;2.9
4427;50971;112577;19660;43;16.5;24;20.4;20.7;16.7;10.9;9.9;8.3;33.2;64.6;56;3;5.6;34.6;8.2;7;2.5;2.9;1.6;-14.4;11370;32150;2.8
5201;46817;116296;21030;42.6;8.5;11.2;8.2;8.8;9;6.4;10;5.1;22;75.1;67.4;2.7;5;25.9;7.9;5.3;3;1.4;0.9;-14.2;13540;32010;2.4
5202;165259;378169;21730;49.4;12.2;22.2;14.7;13.2;11.7;7.2;6.4;5;26.7;73.7;65.4;2.9;5.4;28.9;8.4;5.9;2.4;2;1.5;-16.9;12250;36700;3
5203;71915;155176;21320;48.3;9.5;11.6;10.8;11.7;10.9;6.1;8.8;6.3;19.9;58.8;50.2;2.9;5.7;41.6;12;3.9;1.8;1.3;0.8;-16.3;13190;34650;2.6
5204;17619;41838;20720;42.7;10.2;13.2;10.6;11.5;10.8;6.6;9.4;6.1;22.1;70.9;62.3;2.3;6.3;29.2;9.4;5.4;2.8;1.5;1.1;-14.9;12990;32170;2.5
5205;23104;55357;19820;37.5;13.5;18.9;14.3;14.8;13.1;9.3;13.7;8.5;30;70.7;60.9;2.8;7;27.6;8.6;6.9;3.2;2.4;1.3;-13.8;12050;30610;2.5
5206;77263;186414;21090;44.4;9.2;12.5;9.8;10.8;9.6;5.8;6.6;5;23.8;74;66.3;2.5;5.2;27.2;8.7;5.2;2.7;1.5;1;-15.1;13320;33030;2.5
5207;54446;121733;20290;42.4;12.1;16.6;13.5;14.2;13;8.4;10.5;7.8;26.7;62.6;53.3;2.9;6.4;38.1;8.8;5.2;2.3;1.8;1.1;-14.7;12400;32070;2.6
5208;30540;67357;20690;44.9;11.5;16.2;13.1;13.4;12.5;8.2;7.1;6.2;26.7;65.9;58.5;2.5;4.9;35.1;8.5;5.1;2.3;1.7;1.1;-14.6;12600;31780;2.5
5209;25441;57492;19970;39.6;13.8;19.8;16.4;15.7;14.8;9.8;8.8;8;28.7;65.6;57.2;2.9;5.5;34.4;8.3;5.9;2.6;2;1.3;-14.2;11950;31350;2.6
5210;72054;170341;21520;47.7;9.3;13;9.8;10.2;9.6;6.2;8.9;5;23.7;74.9;67.4;2.7;4.8;27.4;8.5;5.2;2.5;1.6;1.1;-16;13260;33500;2.5
5211;66960;156711;21230;46.7;11.1;17.8;12.8;12.4;10.8;7;8.3;5;26;72.2;64.6;2.4;5.2;29.5;9;5.3;2.7;1.5;1.1;-16;12680;34160;2.7
5212;160105;362548;21360;49.7;13.6;24.2;16.5;16.1;13.2;7.9;6.9;5;32;70.9;63.7;2.6;4.6;31.8;7.9;5.9;2.5;2;1.4;-16.5;11810;34800;2.9
5213;58731;144948;21300;45.3;7.2;9.7;6.8;7.4;7.3;5.3;9.7;5;19.9;77.7;70.3;2.5;4.9;23.9;8.7;4.6;2.7;1.1;0.8;-14.9;14040;32000;2.3
5214;42153;87210;22230;53.4;8.7;12.4;10.4;11.1;11.5;5.5;6.1;5.4;19;55.8;47.2;2.7;5.9;46.2;12.8;3.3;1.4;1.2;0.7;-18.1;13530;37290;2.8
5215;35501;80655;20440;42.5;12.4;17.7;13.8;13.3;12.8;9.1;10.8;7.8;26;66.7;58.4;2.3;6;32.7;9.9;5.2;2.5;1.6;1.1;-14.5;12240;31510;2.6
5216;393333;903253;23200;55.5;10.3;18.8;11.1;11;9.7;6.7;6.9;5;24.4;80.6;72.7;3;4.9;23.7;9.1;5.1;2.1;1.8;1.2;-18.5;12920;39370;3
5217;35913;80585;22440;52.7;7.9;11.7;8;9.1;9;5.3;6.8;5;17.3;64.7;57.5;2.8;4.4;37.5;10.8;3.9;1.9;1.3;0.7;-16.9;13830;36750;2.7
5218;23044;54577;20480;44.3;11.4;14.4;12.7;12.6;11.3;8.3;9.3;5.6;25;70.8;62.8;2.7;5.3;28.9;9.5;5.6;2.8;1.6;1.2;-14.8;12570;31420;2.5
5219;116393;257383;22150;52.1;10.1;16.1;11.5;11.5;11;6.9;6.4;5;23.4;66.9;59.5;2.9;4.5;34.9;10.7;4.9;2;1.8;1.1;-17.4;12990;36560;2.8
