CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
931;164456;418393;17880;48.7;28.4;29.5;28.1;32;30.5;24.4;16.9;12.5;36.7;84.7;76.2;4.9;3.6;17.8;5.7;9.5;3.4;3.7;2.4;-17.7;9020;35540;3.9
932;277120;755699;19230;51.5;23.7;27.6;26.5;27.8;23.7;17.9;11.8;11;36.1;81.5;75;3.6;2.9;21.1;6.4;8.6;3.6;3;2;-17.6;9540;35300;3.7
933;150959;418918;15310;37.7;36.9;35.7;36;42.4;39.1;31.5;24.2;18.8;43.4;80.9;73.8;4.8;2.3;16.2;3.8;13.6;4.8;5.2;3.6;-14.5;7940;29230;3.7
941;121671;308614;22310;60.5;16.1;19.9;17.6;18.4;16.5;12.1;9;5.7;26.3;84.5;77.6;3;3.9;22.3;7.5;5.9;2.5;2;1.4;-20.2;11000;40540;3.7
942;217601;503103;26870;69.4;11.9;16.5;12.5;13;12.3;9.9;6.8;5;21.1;88.6;79.6;2.7;6.3;21.4;11.6;3.3;1.3;1.2;0.8;-24.9;12200;53800;4.4
943;217965;538900;20250;55.5;21.4;25.6;22.6;25.4;21.6;16.3;10.9;7.4;30.1;84.7;78.3;3.4;3;20.6;6.3;7.1;2.8;2.5;1.8;-18.7;9850;38010;3.9
951;161981;423302;22480;60.8;16.7;19.6;18.1;19.6;16.6;12.5;9.3;6;30.7;85.3;79.1;3.2;3;22.2;6.4;5.6;2.6;1.7;1.3;-19.5;10810;40110;3.7
952;171717;488943;20620;56.2;20.1;23.9;23.5;24;19.5;14.5;9.5;10;32.9;83;75.3;3.4;4.3;21.8;7.3;6.8;3.2;2.1;1.5;-18.9;10170;38350;3.8
953;126075;329226;23250;61.5;13.4;20;15.2;15;12.6;9.7;7.3;5;26.7;85.1;78.6;3.1;3.4;21.9;6.9;5.3;2.6;1.5;1.2;-19.2;11810;39720;3.4
9721;61288;131649;19130;39;26.7;45.6;32.2;28.6;26.8;20.4;26.3;16.4;34.6;75.1;66.6;3.4;5.1;24;5.7;10.6;2.5;6;2.1;-15.4;9040;39640;4.4
9722;30385;66940;15860;25.7;36.2;57.9;44.5;37;36;30;39;29.4;45.2;66.7;57.3;4.1;5.3;26.2;4.7;14.9;3.1;9.6;2.2;-12.5;8240;32510;3.9
9723;45608;103062;18080;33;29.1;50.3;36.3;31;29.1;22.6;31.7;21.9;39.4;72;62.4;3.9;5.7;23.6;7.9;11.2;2.6;6.8;1.8;-14.7;8850;37400;4.2
9724;9092;20678;17040;29.8;31.8;55.9;45.5;34;32.8;24;29.7;21.6;43.5;68.7;58.4;3.9;6.4;26.9;5.7;12.3;2.8;7.2;2.3;-13.6;8550;35580;4.2
9741;79328;204270;16930;34.5;34.3;49.7;38;35.7;31.4;25.9;32.7;18.1;43.8;78.6;66.8;4.5;7.3;15.5;7.3;14;3.9;6.9;3.2;-15.4;8690;40130;4.6
9742;116018;312799;14880;25.4;40.9;55.4;43.5;42.2;39.3;32.6;43.1;32.7;51.1;71.3;57.8;5.8;7.7;17;7;17.5;4.5;9.6;3.4;-12.8;8050;33740;4.2
9743;44589;127678;13680;20;46.5;64.5;52.6;47.7;41.5;36.9;45.1;33.1;59.9;70;57.1;5.4;7.5;13.4;4.8;22.7;6.3;11.8;4.6;-10.9;7830;30310;3.9
9744;76081;210768;16300;31.4;35.6;49.7;37.9;36;33.4;30.3;39;28.3;43.7;78.4;65.3;5.3;7.8;14.4;7.3;14.6;4.1;8;2.5;-14.7;8490;38420;4.5
