IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
381690107;35.6;39.3;9570;16020;22670;0.82;4420;8240;10770;13190;18390;21150;25150;29940;6.8;8.5;0.356;64.3;59.1;4.2;1;34;1.7;0
381690108;30.3;42.7;8300;14730;20960;0.86;3310;6840;9910;12420;17370;19590;22590;26730;8.1;9.3;0.345;61.7;54.9;5;1.8;36.5;1.8;0
381690109;54.8;17.1;15900;21720;28000;0.56;9350;13920;16890;19250;23940;26430;30060;36630;3.9;4.7;0.279;71.5;65.4;2.3;3.8;25.5;3;0
381690110;55.5;14.5;16590;23190;30260;0.59;11240;15010;18000;20830;25590;28470;32590;39120;3.5;5.7;0.335;61.3;57.2;2.2;1.9;26.4;12.3;0
381850102;53.3;31.4;10390;20000;31020;1.03;4830;8640;12500;16840;23670;28060;33660;42740;8.9;10.7;0.385;84;78.1;3.4;2.5;12.8;3.2;0
381850103;57.3;25.6;12860;22750;34660;0.96;5610;10570;14770;18690;26710;31330;37400;45060;8;10.3;0.373;84.2;77.8;2.9;3.5;13.3;2.5;0
381850104;61;17.5;16250;23900;34680;0.77;7070;13880;17990;20920;27580;32430;37440;46030;6.5;7.6;0.346;78.7;71.6;3.1;4;17.6;3.7;0
381850105;61;17.7;16420;26350;37510;0.8;8870;14560;18440;22020;30160;34440;40430;52790;6;7.9;0.37;68.3;60.4;2.9;5;22.8;8.9;0
381850106;46.1;32.9;10500;18560;28750;0.98;3870;8220;12260;15570;21850;26260;31330;38340;9.9;11.9;0.383;80.9;71.7;4.6;4.6;16.2;2.9;0
381850107;56;20.5;14890;23320;33650;0.8;7260;12750;16590;20020;26920;30910;37820;46170;6.4;8.3;0.357;78.9;70.3;3.5;5.1;16.8;4.3;0
381850108;51.2;23.3;13600;21330;30570;0.8;5910;11480;15070;18710;24530;28050;32590;39390;6.7;8.3;0.35;80.5;71.8;4.6;4.1;15.5;4;0
381850109;53.3;25.7;12630;22420;32980;0.91;5550;10710;14880;19290;26080;30840;35450;43470;7.8;10.5;0.374;79;70.6;3.7;4.7;17.1;3.9;0
381850110;50.8;28.1;11780;20330;30710;0.93;4050;9960;13400;17520;23700;27940;33370;42360;10.5;10.5;0.37;80.7;74.4;3.6;2.7;16;3.3;0
381850111;60.2;18.9;15670;24820;35440;0.8;9090;13460;17840;21170;28370;32420;38160;45870;5;6.5;0.326;74.6;68.5;2.9;3.2;21.3;4.1;0
381850201;58.9;20.6;15470;24200;34990;0.81;5500;12630;17410;20420;27910;31490;38130;50300;9.1;10.8;0.394;79;68.3;3.4;7.3;15;6;0
