IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
010040101;45.4;31;11150;18540;25900;0.8;5500;9490;12830;15670;21280;24160;27280;33860;6.2;7.2;0.332;68.9;63.2;3.1;2.6;27.3;3.8;0
010040102;39.3;39.4;8890;16180;23290;0.89;3800;7690;10230;13100;18860;21560;25200;31450;8.3;9.8;0.366;69.6;62.9;4.5;2.2;26.9;3.5;0
010040201;43.7;28.8;11830;18870;26560;0.78;6770;9990;13210;16220;21490;24980;28600;35190;5.2;7.4;0.347;67.7;60.6;3.1;4;28.3;4;0
010040202;61.1;14.6;17180;24780;33280;0.65;10380;15570;19020;21870;27830;31270;36350;44680;4.3;7.3;0.387;62.7;57.5;2.1;3.1;21.2;16.1;0
010330102;41.9;25.9;12660;19590;28730;0.82;6620;10530;13900;16820;22850;26590;31050;40890;6.2;8.6;0.365;70.2;63.8;4.1;2.3;25.8;4;0
010330103;46.7;21.2;14700;22970;34460;0.86;7870;12620;16130;19340;26910;31470;38430;49360;6.3;7.4;0.358;75.8;70.4;3.5;1.9;19.4;4.8;0
010330201;48.6;20.6;14850;24030;35020;0.84;8300;12610;16820;20820;27590;32380;39540;52960;6.4;8.3;0.374;71.1;64.4;3.3;3.4;25.7;3.2;0
010330202;39.2;34.5;10180;17510;26160;0.91;5440;8840;11710;14430;20640;24390;29720;38410;7.1;8.7;0.375;66.8;62.2;3.6;1;31.4;1.8;0
010330301;36.7;29.9;11670;19410;28970;0.89;5820;10160;13000;17040;23310;26740;32230;38920;6.7;7.9;0.35;78.4;72.8;4.9;0.7;19.8;1.8;0
010330401;54.5;11.4;19150;27100;39570;0.75;12280;17230;21230;24020;31270;36310;43170;55040;4.5;5.7;0.323;76.2;70.6;2.9;2.7;19;4.8;0
010530101;48.6;28.1;11680;20220;29400;0.88;4660;9650;13680;16870;22850;26670;32120;40440;8.7;10.8;0.389;70.9;63.3;3.6;4;22.9;6.2;0
010530102;51.5;26.5;12610;20200;28490;0.79;6030;10890;14200;17400;22650;26480;30870;38310;6.4;7.7;0.346;53.6;47.7;3.1;2.8;42.4;4;0
010530103;51.7;23.8;13340;21290;32050;0.88;6510;11340;15440;18360;25140;29580;35970;50500;7.8;11.3;0.425;63.4;53.3;3;7.1;29.5;7.1;0
010530201;48.9;27.3;12270;19530;27750;0.79;6680;10630;13740;16910;22490;25680;30010;37680;5.6;7.9;0.368;63.4;57.9;2.7;2.8;32.9;3.7;0
010530202;37.8;40.9;7940;15330;24440;1.08;2240;6320;9720;12680;18580;22370;26410;33720;15.1;15.6;0.407;67.8;60.1;4.6;3.1;29.4;2.8;0
010530203;50.9;26.7;12190;19900;27250;0.76;6300;10290;14230;16870;22620;25490;30270;37590;6;7.9;0.352;67.1;60.8;3.3;3;29.4;3.5;0
010530301;58.1;17.5;15910;22900;32790;0.74;8700;14240;17440;20360;26860;30610;36290;48420;5.6;7.8;0.379;66.5;59.3;2.5;4.7;28;5.5;0
010530302;46.1;31.3;11080;18420;26750;0.85;5170;9130;12490;16220;21500;24750;29300;38010;7.4;11.2;0.415;67.1;61.2;3.1;2.8;29.5;3.4;0
010530401;44.9;30.5;11280;18310;26820;0.85;5000;9520;12860;15520;21350;24720;28920;35700;7.1;8.2;0.352;62.2;54.6;3.1;4.5;35;2.8;0
010530402;60.5;15;15920;22630;30330;0.64;10630;14400;17170;19750;25430;28470;32640;39830;3.7;4.7;0.29;63.1;58;2.9;2.2;34.3;2.6;0
010530501;56.6;16.4;16070;22720;31980;0.7;9100;14590;17510;20120;25420;28750;34940;44010;4.8;6.5;0.349;51;46.7;1.4;2.9;44.6;4.4;0
010530502;49.6;27.6;11900;20130;29280;0.86;6760;10500;13890;16850;22930;26940;32220;41910;6.2;8.7;0.392;60;52.3;2.2;5.5;32.9;7.1;0
010530503;21.2;59.3;5800;10980;17380;1.05;1020;4400;6910;9200;13140;15590;19200;23570;23.1;19.5;0.429;68.7;61.5;6.1;1.1;28.6;2.7;0
010530601;33.9;48.8;7150;13450;20800;1.02;2420;6120;8710;10590;16150;18960;23040;28490;11.8;12.4;0.388;55.9;50.1;4.7;1.1;42;2.1;0
010530602;30.2;53.2;6440;12390;19290;1.04;2490;5500;7380;10510;14670;17570;20740;26150;10.5;11.9;0.384;57.8;50.5;5.8;1.5;40;2.2;0
010530603;20.6;63.6;6110;10660;16410;0.97;1930;5370;7220;8610;12380;15010;17470;22770;11.8;11.5;0.382;63.1;;;;36.3;0.6;0
010530604;;;12990;21090;28340;0.73;3690;10940;14660;18980;23970;26550;30190;37980;10.3;8.9;0.341;56;50.5;1.9;3.6;40;4;0
010530701;51.1;25.6;12780;20570;27170;0.7;7110;11300;14530;17840;22970;25430;29160;34870;4.9;7.2;0.342;69.9;64.6;2.8;2.5;26.9;3.2;0
011730101;58.9;17.4;16850;29610;49060;1.09;8670;14200;18890;24650;35800;43910;53140;68420;7.9;10.1;0.395;86.4;81;3.4;2;9.9;3.7;0
011730102;58.3;14.6;19150;34380;54210;1.02;9480;16600;21630;28400;41100;48940;60270;76430;8.1;9.5;0.381;86.1;82.1;2.8;1.2;10.8;3.1;0
011730103;62.5;12.5;22370;38670;56520;0.88;10510;18320;26050;32050;45760;52630;62030;78340;7.5;9.6;0.377;88;82;3.4;2.6;9.8;2.2;0
012830102;22.7;53.2;7390;12250;17610;0.83;3680;6300;8150;10010;14250;16540;18870;23140;6.3;7.8;0.338;72.8;64.7;7.5;0.6;26.6;0.6;0
012830103;27.3;51.2;7360;12780;18640;0.88;3430;6620;8260;10360;15160;17550;20260;25140;7.3;8.5;0.36;63.2;56.9;5.3;1;35.2;1.6;0
012830104;21;60.3;7090;11030;17040;0.9;3210;6060;7640;9390;12880;15480;18600;22610;7;9.1;0.378;72.9;64.2;7.5;1.2;25.8;1.3;0
012830201;46.5;27.5;12150;18500;25580;0.73;5850;10260;13820;15820;21310;23750;27110;33630;5.7;8.2;0.361;61.9;55.6;4;2.3;33;5.1;0
012830202;42;29.7;11400;17440;24400;0.75;4990;9600;13160;15360;20110;22790;26860;33540;6.7;8.2;0.345;67.3;61.6;3.6;2.1;29.1;3.6;0
012830203;31.7;44.4;8110;14410;21530;0.93;4420;7230;9390;11950;17270;19740;23800;31880;7.2;9.6;0.393;64.6;56.5;5.1;3;31.8;3.6;0
012830301;42.2;32.1;10900;17400;24290;0.77;5610;9270;12370;14870;19690;22610;26270;34450;6.1;9;0.387;69.8;64.2;3.8;1.8;26.5;3.7;0
012830303;46.3;31.1;10620;18140;25480;0.82;4490;9230;12500;16050;20810;23600;27750;34910;7.8;10.9;0.397;68.5;60.6;4.2;3.7;24.6;6.9;0
012830304;48.1;25.1;12960;19500;26310;0.68;6420;11370;14330;16960;21870;24750;28450;37850;5.9;12;0.482;57.9;51.7;2.9;3.3;19.1;23;0
012830305;71.7;;20930;27050;37130;0.6;14330;18780;21800;24170;29980;33790;40110;54460;3.8;5.8;0.366;63.6;58.2;1.9;3.5;23.5;12.9;0
021680101;42.1;38.2;9220;16170;24130;0.92;4040;7600;10990;13600;19460;22430;26510;33320;8.2;12.1;0.414;67.8;57.5;4.2;6.1;26.5;5.7;0
021680201;55.2;21.8;13780;20910;29940;0.77;7960;12430;15610;18400;23990;27490;32170;43770;5.5;7.5;0.356;65.8;55.1;3.1;7.6;28.1;6.1;0
021680401;43.3;27.1;12340;18660;26890;0.78;6050;10760;13690;16570;21120;24830;29130;36450;6;7.8;0.35;63.5;56.3;3.4;3.8;31.9;4.6;0
021680501;;;4330;8980;15620;1.26;400;3260;5390;7510;10990;13790;17790;21850;54.6;27.2;0.442;68.9;57.6;10.3;1;30.2;0.9;0
021680601;54.9;20.4;15160;22300;30670;0.7;8180;12890;17120;19580;24800;28460;33630;44700;5.5;6.9;0.343;59.5;50.2;2.4;6.9;35.5;5;0
021680701;;;8320;14930;22570;0.95;2050;6420;9270;12580;17990;20980;24340;30820;15;15.1;0.394;67.2;60.9;4.3;2;31;1.8;0
021730101;26.5;51.6;5390;12530;20030;1.17;270;3880;7010;9600;15550;18570;21800;27380;102.9;30;0.445;59.6;52.8;4.8;2;38.3;2.1;0
021730201;40.3;34.6;9700;16920;25360;0.93;3000;8110;11570;14390;20130;23190;27360;35270;11.8;13;0.397;62.4;53.4;3.6;5.4;33.4;4.2;0
021730301;47.6;27.1;12350;20260;27720;0.76;6480;10470;14060;17460;22640;25580;30440;38990;6;8.8;0.374;65.2;54.8;2.5;7.9;30.4;4.4;0
024080101;21;66.1;2710;8470;15830;1.55;0;1230;4140;6320;11050;14160;17820;23710;;126.4;0.492;56.9;48.7;7.4;0.8;41.5;1.6;0
024080102;;80.6;1330;5730;10860;1.66;0;230;1930;3960;7440;9540;12860;17070;;847.8;0.521;65.2;;;;34.3;0.5;0
024080201;39.1;38.8;8430;15910;22750;0.9;3390;7100;10100;13160;18420;21310;25220;31110;9.2;10.6;0.369;59.6;54.6;3.3;1.7;37.9;2.5;0
024080301;44.3;32.5;10340;18870;27520;0.91;3690;8800;11940;15450;21720;25500;30060;38310;10.4;12;0.39;60.3;52.8;2.6;4.9;34.7;5;0
024080401;51.5;23.6;13410;21650;30110;0.77;7420;11410;14970;18120;24600;27960;33260;45570;6.1;8.5;0.375;56.5;49.6;2.5;4.4;37.8;5.7;0
024080402;31.2;43.7;7590;14600;20960;0.92;2030;5980;9480;11880;16910;19470;22290;27120;13.3;12.8;0.369;64.6;59.1;4.8;0.7;34.7;0.7;0
024080501;47.5;34.3;8760;18590;29590;1.12;1370;6640;10730;14990;22180;26650;33800;44590;32.5;25.8;0.474;71.8;59;3.4;9.4;22.6;5.6;0
024080601;44.1;31.8;10670;18160;25510;0.82;4890;8470;12480;15360;20970;23730;27410;34300;7;9.5;0.366;64.9;56.2;3.3;5.4;32.1;3;0
024080801;33.9;42.6;6910;14800;22540;1.06;870;5320;8630;11950;18320;20830;24470;30950;35.6;22.1;0.414;58.4;50.7;4.2;3.5;39.4;2.2;0
024080901;57.7;17;16220;22440;30120;0.62;8670;14390;17470;19910;25110;28120;33010;44600;5.1;6.7;0.349;62.7;57.4;2.1;3.2;32.3;5;0
026910101;52.2;29.1;11100;21820;35050;1.1;2110;8960;13560;17670;26380;31790;39070;58090;27.6;25.1;0.498;70.2;51.2;2.2;16.8;22.9;6.9;0
026910102;53.4;26;12670;23740;40260;1.16;3880;10450;15420;19070;28500;35250;45270;65300;16.8;20.5;0.487;69.7;50.1;2.2;17.4;23.2;7.1;0
026910103;41.9;40.1;6940;16830;26630;1.17;0;5450;8770;12890;19900;23850;30600;42240;;52.5;0.521;67.3;54.8;3.2;9.3;23.6;9.1;0
026910104;43.8;38.1;7520;16920;27460;1.18;1760;5970;9490;13780;20790;25330;30380;41660;23.6;25.8;0.487;67.6;56.8;3.6;7.2;25.2;7.2;0
026910201;46.3;28.7;11430;19160;27960;0.86;3710;10110;13320;16110;22020;26220;31380;41440;11.2;12.5;0.408;68;57.9;3.2;6.9;27.7;4.3;0
026910202;48.9;23.8;13280;20540;27070;0.67;6490;11740;14740;17480;22540;25080;29590;36060;5.6;6.8;0.332;63.8;58.5;2.1;3.2;32.7;3.5;0
026910203;47.8;28.3;11590;18720;27770;0.86;4680;9700;13630;16150;21710;25280;30530;37870;8.1;10.2;0.382;55;46.2;3.5;5.3;42;3;0
026910204;19.5;70.3;820;7250;15030;1.96;0;420;1960;4510;9460;12740;17210;23250;;555.6;0.558;56.6;;;;39.9;3.5;0
026910205;;77.2;2420;7290;12370;1.37;0;1070;3190;5710;8760;11590;13990;17620;;125.7;0.476;57.9;;;;40.9;1.2;0
026910206;24.1;62.8;2810;9220;17280;1.57;0;1510;3860;6060;12030;15390;19110;24750;;117.1;0.488;37.7;;;;61.2;1.1;0
026910207;27.8;52.5;5590;12320;19180;1.1;1210;3710;6840;10070;14990;17710;21150;25580;21.1;19.4;0.405;41.3;;;;57.4;1.3;0
026910208;54;24.1;13660;21160;31280;0.83;6250;11360;15460;18610;25240;28840;33930;43530;7;10.4;0.4;58.3;51.4;2.4;4.5;30.1;11.6;0
026910209;48.1;28.6;11540;19790;31880;1.03;4550;9550;13360;16640;23590;28920;36720;50310;11.1;13.1;0.427;66.8;58;2.2;6.6;28;5.2;0
026910301;31.7;43.1;7540;14620;20730;0.9;1090;5480;9100;11930;16840;18890;22290;27200;25;20.8;0.412;69.6;61.3;5.2;3.1;28.2;2.2;0
026910302;42.5;28.8;11800;17730;23820;0.68;5610;9550;13150;15730;19660;22070;25460;30180;5.4;7.3;0.322;62.3;56;3;3.3;35.8;1.9;0
026910303;;;5130;12710;19010;1.09;250;3420;6670;9590;15320;17700;20870;24580;98.3;30.3;0.412;51.8;45.8;5.3;0.7;47.4;0.8;0
026910304;33;45.4;6810;14510;21530;1.01;650;5280;8360;11520;17120;19810;23260;28780;44.3;22.6;0.419;63;54.9;4.6;3.5;34.4;2.6;0
026910401;37.2;39.9;8370;16290;23730;0.94;1620;6750;10040;13060;19020;21930;25680;32060;19.8;15;0.402;59.9;51.9;3.2;4.8;37.5;2.6;0
026910402;36.6;36;10060;16040;21920;0.74;2920;7790;11270;14200;18120;20560;23820;29150;10;9.9;0.346;67.8;60.1;5;2.7;30.8;1.4;0
026910403;39.6;32;10680;17470;24100;0.77;4950;8990;12230;15030;19920;22420;25840;31380;6.3;7.7;0.326;58.9;54;3.5;1.4;39.4;1.7;0
026910501;34;41.3;7870;15710;22140;0.91;1460;6420;9680;12740;18440;20800;24250;29560;20.2;15.2;0.399;64.3;57.3;3.9;3.1;32.5;3.2;0
026910502;39.1;38.3;8630;16440;24860;0.99;1210;6790;10100;13500;19830;23050;27760;36970;30.7;19.2;0.412;65.7;60;3.2;2.5;29.4;4.9;0
026910503;;;2610;9340;17340;1.58;0;890;4390;7090;12520;15440;19200;23220;;233.1;0.485;64.3;54.5;7;2.8;34.4;1.3;0
026910504;43.3;31.6;11230;18680;25240;0.75;5410;9290;12560;15730;21120;23630;27400;33720;6.2;8.5;0.353;56.3;48.8;2.1;5.4;42.1;1.6;0
026910601;38.5;35.9;9160;17360;24150;0.86;2690;7470;10990;14540;19840;22500;25910;32240;12;13.9;0.393;66;58.1;3.8;4.1;30.3;3.7;0
027220101;24.7;60.5;3800;9980;18550;1.48;100;2680;5200;7380;12840;16660;20500;27760;291.5;47.5;0.51;49.2;41.8;4.9;2.5;44.1;6.7;0
027220102;;75.9;1500;6350;12700;1.77;0;460;2490;4630;8820;11280;13950;18240;;435.3;0.502;71.7;;;;26.7;1.6;0
027220103;18.1;64;4830;9550;15980;1.17;360;3440;5620;7650;11940;14640;17550;22400;61.5;29.1;0.447;65.1;54.5;9;1.6;32.3;2.6;0
027220201;34.6;40.6;8910;14990;20690;0.79;2810;7350;10350;12860;17070;19200;22560;26740;9.5;9.3;0.339;54.5;49.4;4.5;0.6;43.9;1.6;0
027220301;;;18230;25470;35080;0.66;12300;16450;20080;22410;27750;32470;37980;48960;4;5.3;0.316;59.5;49.1;1.8;8.6;35.1;5.4;0
027220401;20.3;52.9;6520;12260;18330;0.96;530;4630;7900;10210;14570;17000;19740;24710;46.9;21.8;0.408;54.5;;;;41.5;4;0
027220501;57.9;16.8;15550;23000;32410;0.73;9510;14310;17040;20210;26210;30000;35840;48970;5.1;6.8;0.366;60.8;51.8;2;7;31.8;7.4;0
027220502;45.1;30.6;10550;18720;27980;0.93;3020;8120;12790;15800;21630;25590;31450;42330;14;15.5;0.411;56;48.3;3.2;4.5;37.6;6.4;0
027220503;49.7;27.3;12000;20280;31240;0.95;5160;9460;13720;16650;23570;28110;36720;52890;10.2;15.6;0.467;61.9;47.9;2.2;11.8;27.3;10.8;0
027220601;;;4130;8590;15800;1.36;140;2770;5160;7110;11290;14190;17610;23480;164.3;35.1;0.46;73.9;66.8;6.4;0.7;24.4;1.7;0
027220701;47.7;26.7;12360;19630;27410;0.77;5670;10570;14380;17240;22280;25170;29610;36560;6.5;9;0.367;65.6;56.5;3.8;5.3;30.4;4;0
027220801;30.7;41.4;9000;14990;21810;0.86;3370;7720;10420;12690;17110;20300;23550;28340;8.4;9.3;0.358;70.1;63;4.8;2.3;27;2.9;0
027220901;54.8;22.6;13930;21610;30550;0.77;5970;11220;15400;18700;24830;28370;34330;44760;7.5;11;0.403;64.3;54.9;2.5;6.9;27.9;7.8;0
027380101;36.7;33.8;10200;16730;22740;0.75;2560;8730;11720;14390;19130;21510;24620;29950;11.7;9.9;0.346;61.5;54.9;3.6;3;36.3;2.2;0
027380102;28.5;44.3;8720;14050;19870;0.79;3370;7780;9760;12170;16250;18550;21250;25770;7.6;7.2;0.321;71.2;;;;28.4;0.4;0
027380201;36.9;33.3;10480;17350;23580;0.75;4200;8300;11920;14760;19880;22080;24920;29610;7.1;8.7;0.336;63.3;55.9;4.3;3.1;35.5;1.2;0
027380301;37.2;32.2;10970;17630;23580;0.72;2710;8870;12210;15360;19700;22070;25830;31540;11.7;10.4;0.344;56.4;50.3;3.5;2.6;40.6;3;0
027380302;29.9;47.2;6000;14020;20920;1.06;550;4450;7330;10320;16930;19510;22640;27350;50;22.2;0.41;60.8;54.1;4.9;1.8;36.9;2.3;0
027380401;40.3;30;11410;17630;23710;0.7;5230;9100;13000;15120;19970;22320;25290;30440;5.8;7.2;0.316;62.3;56.1;3.7;2.5;35.6;2.1;0
028100102;43.5;26.2;12720;18930;26220;0.71;7170;10800;14190;16370;21310;24400;28480;35220;4.9;6.5;0.333;63.7;57.7;3.2;2.8;31.3;5;0
028100202;49.1;22.7;13860;20020;27820;0.7;8510;12100;15210;17480;22570;25800;30360;39430;4.6;6.5;0.351;67.6;61.1;2.8;3.7;25;7.4;0
028100302;48.7;15.2;15910;20940;27000;0.53;11150;14700;17020;19090;22800;25490;29010;35790;3.2;3.8;0.257;76;71.2;3;1.8;22.2;1.8;0
028100401;26.1;46.2;7970;13740;19510;0.84;2870;6580;9180;11480;15800;18360;21210;26870;9.4;9.8;0.356;78.7;72.1;5.8;0.8;20.2;1.1;0
030950101;35;40.7;7950;15630;22930;0.96;290;5700;9630;12740;18430;21530;24560;31920;111.5;28.3;0.447;53.5;41.7;3.3;8.5;42;4.5;0
030950102;;;11780;18410;25420;0.74;3590;9720;13350;15780;21440;23770;27320;33550;9.4;9.7;0.352;55.1;48.1;3.1;3.9;40.8;4.1;0
030950103;37.5;38.6;8490;16200;22880;0.89;1900;6780;10510;13290;18620;21560;24510;30840;16.2;13.9;0.38;62.3;55;3.9;3.4;35.9;1.8;0
030950105;46.1;18.7;14860;20140;26860;0.6;8510;13600;15900;17940;22210;25220;28870;37000;4.3;6;0.327;57.5;46.7;2.6;8.2;39.6;2.9;0
030950106;56.1;;17380;22990;29750;0.54;12980;16380;18420;20470;25620;28180;31660;38940;3;3.6;0.252;60.8;53.6;1.9;5.3;34.8;4.4;0
030950111;44;24.7;13060;19830;26720;0.69;7950;11780;14950;17150;22330;25160;28820;35180;4.4;6;0.326;53.6;46.6;2.3;4.7;42.3;4.1;0
031850101;42.4;31.8;10180;19060;29150;1;1930;8120;12350;15810;22330;25960;32490;44150;22.9;22.7;0.481;60.9;47.3;2.9;10.7;29.7;9.4;0
031850102;42.7;31.8;10570;18520;26710;0.87;3460;8920;12100;15340;21520;24720;29610;39010;11.3;14.6;0.418;59;49.1;3;6.9;36.4;4.6;0
031850103;41.1;31.2;11150;18130;26600;0.85;3100;8490;12630;15430;21020;24660;29050;34900;11.3;12.6;0.377;56.9;51.6;3;2.3;38.4;4.7;0
031850104;38.2;30;11240;17320;23370;0.7;3830;8770;12960;15380;19210;21560;24850;29800;7.8;8.2;0.323;57.3;51.9;3.4;2;39.9;2.8;0
031850105;34;42.2;6520;14910;21500;1;50;4950;9000;12380;17390;20160;23220;28220;613.5;27;0.395;53.8;49;3.6;1.2;43.5;2.7;0
031850106;28.7;48;5900;13450;19870;1.04;50;4090;7720;10780;15990;18650;21530;26760;525.2;27.8;0.428;53;44.7;4.2;4.1;43.1;3.9;0
031850108;48.8;24.1;13240;19770;27050;0.7;5960;11300;14850;17900;22600;25460;29230;35780;6;7.7;0.333;60.2;54.1;3.3;2.8;35.9;3.9;0
031850110;51.6;20.6;14470;22050;30590;0.73;7860;12760;16050;19260;24900;28100;33280;41880;5.3;7;0.344;57.5;48.7;2;6.8;38.4;4.1;0
031850111;55.3;16.6;16110;22930;32050;0.7;10330;14070;17450;20120;25500;29310;34180;44670;4.3;6;0.336;56.8;47.6;1.8;7.4;38.2;5;0
031850112;45;26.1;12680;19460;26330;0.7;5420;10750;13850;16880;22380;25020;28320;34370;6.3;7.7;0.33;57.9;52;3;2.9;39.3;2.8;0
031850113;30;43.3;7470;14700;21390;0.95;210;5140;9270;11880;17180;19930;22880;27760;129.8;21.7;0.393;54.9;49.6;3.6;1.7;42.9;2.2;0
031850114;43.2;27.9;11890;18980;25960;0.74;4180;9880;13800;16900;21730;24420;27860;32720;7.8;8;0.324;56.9;52.3;3.1;1.5;40.1;3;0
031850115;30;47.6;4520;14060;21340;1.2;0;2280;6020;9710;16840;19750;23240;28920;;96.3;0.446;46.6;41.9;3.4;1.3;50.9;2.5;0
031850116;39.2;31;11360;17480;23680;0.7;5290;9590;12770;14950;19570;22090;25430;30020;5.7;7.1;0.316;48.7;43.8;3;1.9;47.7;3.6;0
031850117;26.4;43.7;7140;14580;20380;0.91;460;5290;8520;11760;16640;18830;21940;26670;58.5;17;0.378;50.4;44.4;4;2;47.6;2;0
031900101;48.6;28.5;11610;20280;29510;0.88;4890;9880;13670;17160;22910;26840;32270;45730;9.4;12.5;0.412;66.5;54.3;3.8;8.4;27.5;6;0
031900102;45.2;28.5;11660;18880;27390;0.83;4740;9890;13480;16300;21900;25550;29930;39390;8.3;10.8;0.382;58.6;49.2;3.1;6.3;35.8;5.6;0
031900103;;;11900;18220;24570;0.7;5320;10340;13390;15850;20510;22850;26630;32700;6.1;7.2;0.316;67.3;62;2.9;2.4;30.6;2.1;0
031900104;33.9;38.2;9210;16080;23480;0.89;2400;7090;10800;13540;18560;22410;24810;31220;13;12.8;0.376;63.5;57.4;3.6;2.5;33.8;2.7;0
031900105;50.9;18.6;14640;21340;29010;0.67;7850;13170;16470;18870;23970;27300;31000;38200;4.9;6.4;0.323;65;58.3;2.1;4.6;31.4;3.6;0
031900106;51.9;21.1;14740;22170;30510;0.71;6080;12670;16530;19450;24820;27860;33240;43400;7.1;8.8;0.362;62.7;52.3;2.4;8;32.3;5;0
031900107;;;6870;14580;22030;1.04;1000;4820;8800;11270;17050;20400;23850;29850;29.7;20;0.404;55.2;48.8;3.6;2.8;42.5;2.3;0
031900108;24.6;56;2960;11100;18930;1.44;0;1430;4710;7730;14310;17490;20570;25460;;96.7;0.469;52.8;47.5;4.7;0.6;45.6;1.6;0
031900109;45.5;22.9;13740;19730;26010;0.62;7380;12070;15590;17400;22320;25030;28340;34690;4.7;5.8;0.303;54.3;48;2.4;3.9;41.7;4;0
033100101;39.5;38;7960;17490;26980;1.09;1070;5880;10120;14170;20480;24640;30040;39840;37.4;26.7;0.458;44.6;38.2;3.6;2.8;48.3;7.1;0
033100102;36.4;38.7;8220;16170;24290;0.99;930;6090;10010;13250;18790;22230;26740;34550;37.1;21.3;0.421;48.9;40.9;3.1;4.9;46.9;4.2;0
033100103;35.8;38.7;8570;15700;22910;0.91;1420;7140;10540;13250;18460;21190;24570;29640;20.8;14.5;0.38;58.9;51.6;4.9;2.4;37.5;3.6;0
033100104;;;12370;19470;26520;0.73;6000;10990;13820;16920;21970;24900;28550;35850;6;8;0.352;59.1;51.8;2.8;4.5;38;2.9;0
033100105;42.1;31.5;10960;18280;26860;0.87;3570;8990;12500;15740;21190;25020;29760;39750;11.1;14.2;0.415;60;48.5;3.9;7.6;35.6;4.4;0
033100106;51.9;22.5;14020;23780;35300;0.89;3580;11700;15940;20010;27500;32690;40560;53610;15;15.4;0.43;35.4;27.3;1.9;6.2;55.4;9.2;0
033100107;54.2;20.5;14960;23210;35890;0.9;6590;12790;16520;19960;27160;32270;39250;51050;7.7;10;0.392;41.3;32.7;1.9;6.7;51.3;7.4;0
033100108;49.6;20.3;14770;21390;29330;0.68;7490;12900;16010;18680;23860;27480;32650;40980;5.5;7.6;0.356;48.6;42.7;2;3.9;42.5;8.9;0
033100109;;;3820;10430;17200;1.28;0;2120;4910;7870;12950;15900;18790;23000;;52.9;0.444;46.8;41.2;5.1;0.5;51.7;1.5;0
033100110;40.3;25.4;12740;18430;24200;0.62;7100;10960;14280;16440;20600;22890;26510;32550;4.6;6;0.308;50.2;44.7;3.2;2.3;46.5;3.3;0
033210101;54.3;16.5;15830;22440;30120;0.64;8880;14220;17180;19970;24930;28140;32600;40560;4.6;5.7;0.311;57.2;51;1.8;4.4;39.3;3.5;0
033210102;58.3;15.8;16310;22230;29280;0.58;10620;14600;17570;19950;24510;27580;31430;38420;3.6;4.5;0.277;58.3;53.6;1.8;2.9;39.1;2.6;0
033210103;44.4;27.6;11940;19280;26750;0.77;3820;10260;13590;16840;21780;24910;28770;34210;9;9.8;0.346;63.9;56.4;3;4.5;33.1;3;0
033210104;60.4;;17900;23350;30600;0.54;12100;16470;19130;21480;26210;29220;32170;39160;3.2;4.2;0.268;55;50;1.8;3.2;41.7;3.3;0
033210105;;;18660;25050;32480;0.55;14430;17700;19760;21850;27470;30330;34670;40370;2.8;3.4;0.246;54;47.4;1.6;5;40.1;5.9;0
040700101;49.7;24.2;13150;20400;27330;0.7;6620;11550;14680;17830;22740;25340;29380;36610;5.5;6.8;0.332;65.9;57.9;2.8;5.2;29.9;4.2;0
040700102;37.8;38.7;9230;16300;24560;0.94;2240;7220;10450;13490;19320;22760;27340;36490;16.3;14.8;0.4;57.8;48.8;3.8;5.2;37.2;5;0
040700103;57.9;20;15500;23290;31750;0.7;7340;12960;17390;20420;26040;29500;34510;44400;6;8.2;0.36;58.1;46.7;2;9.4;34.5;7.4;0
040700104;48.1;23;13560;19620;26910;0.68;7280;11870;14720;17050;21840;25300;28340;33820;4.6;5.8;0.299;53.9;49.1;2.5;2.3;41.9;4.2;0
040700105;53.6;21.2;14460;21490;28600;0.66;8120;12530;15870;18570;23850;27080;30540;36120;4.5;5.5;0.295;56.3;50;2.8;3.5;39.1;4.6;0
040700106;;;17940;24720;32500;0.59;12560;16530;19210;22030;26760;30420;34800;44460;3.5;4.5;0.284;57.5;49.4;2.1;6;37.3;5.2;0
040700107;26.2;53.5;5250;12020;20040;1.23;400;3190;6750;8980;14780;18240;22120;28630;71.6;40;0.488;54;45.9;4.8;3.3;34;12;0
040700108;44.4;27.9;11980;19290;27880;0.82;4680;9880;13580;16390;22010;25370;30600;38460;8.2;10;0.378;51.8;43.1;2.9;5.8;42.6;5.6;0
041120101;23.9;54.9;5450;11920;19320;1.16;270;3560;6500;9160;14630;17530;20880;25490;93.9;30.4;0.443;64.6;54.7;7;2.9;30.4;5;0
041120102;40.1;36.9;9770;16290;24070;0.88;3470;8370;11270;13600;19640;22420;25700;34400;9.9;10.1;0.373;53.6;48;3.8;1.8;42.1;4.3;0
041120103;41.2;35.6;9760;16940;25830;0.95;4500;8230;11350;14340;19710;23440;28540;36280;8.1;10.6;0.393;51.3;42.9;3.8;4.6;40;8.7;0
041120104;54.6;20.2;14360;22350;30800;0.74;9240;12840;16470;18960;25360;28560;33100;42240;4.6;6.4;0.344;56.2;48.4;2.2;5.6;36.4;7.4;0
