CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
347;7507;16026;19250;37.5;15.2;23;18.4;17.1;14.8;10.3;13.8;9.5;30.9;64;53.3;3;7.7;35.2;9.6;5.6;2.1;2.2;1.3;-14.4;11630;30830;2.7
348;7537;15368;19610;39;15.2;;20.3;17.5;15.7;11.1;11.6;9.8;29;57.3;48.1;2.2;7;41.8;9;6;1.9;2.7;1.4;-14.1;11650;32010;2.7
349;8505;17160;21950;56;14.3;;15.6;19.5;17.3;11.2;8.2;8.7;21.7;56.8;45.2;3.4;8.2;39.9;22.2;3;1.1;1.2;0.7;-21.9;11610;43290;3.7
350;7854;16319;20660;45.3;13.1;;18.1;14.6;14;10.5;;6.7;27.9;61.6;53.9;2.8;4.9;38.7;11;4.4;1.7;1.7;1;-15.7;12070;34920;2.9
351;7451;15511;20150;43.1;13.1;;16.6;16.5;13;8.5;9.6;7.6;26.2;60.6;52.7;2.2;5.7;38;11.5;5.1;1.9;2.1;1.1;-15.2;12190;33100;2.7
352;7179;15849;21530;52.4;13.1;;15.9;14.6;14.2;9.9;;6.3;22.5;71.1;60.7;3.3;7.1;31.1;10.8;4.9;1.9;1.8;1.2;-17.9;11930;39390;3.3
353;7845;16022;21550;48.9;10.5;;12.8;11.9;12;7.8;8.9;7.4;21.5;54.1;45.3;3.1;5.7;47.7;10.2;3.9;1.6;1.5;0.8;-15.9;12890;35860;2.8
354;7233;15581;20240;42.5;15.7;;21.5;17.4;15.4;10;14.6;10.2;29.3;63.4;48.9;2.8;11.7;35.3;11.1;6;1.9;2.7;1.4;-15.8;11500;35030;3
355;7184;15884;19620;41.2;16.6;26.3;21;19.4;17.2;10.9;13.1;11;28.7;61.1;49.5;3.5;8.1;37.6;9.6;6.5;2.2;2.9;1.4;-14.8;11210;32430;2.9
356;6564;15480;18560;37.3;20.2;29.6;22.9;22.9;21;15;13;11.9;34.9;64;55.7;3.4;4.9;33.5;8;8.5;3.2;3.4;1.9;-14;10600;31460;3
357;6338;15290;21430;47.4;11.6;;12;11.2;14;8.4;;5.1;22.4;76.4;69.8;3;3.6;23.6;9;6;2.9;1.9;1.2;-15;12610;33990;2.7
358;6953;15172;19840;40.5;13.9;20.8;13.5;18;14;10.1;10.4;8.2;25;66.2;56.3;2.7;7.2;34.3;7.5;6.1;2.3;2.4;1.4;-14.1;11920;31850;2.7
359;7286;15729;20270;44.7;18.7;;22.4;22.6;21.2;14.1;13.7;12.9;28.3;58.6;44.9;3.4;10.3;39.5;14.6;4.8;1.7;1.9;1.2;-17.5;10630;37440;3.5
360;6960;14757;18590;37.3;21.9;33.7;28.6;25.6;24.6;15.3;15.3;12.4;38.5;55.1;45.6;3.3;6.2;41.4;10.5;7.5;2.3;3.3;1.9;-14.5;10040;33670;3.4
361;7087;15133;19910;39.9;16.7;;19.6;22.4;16.5;12.2;13.5;10.3;32.8;60;48.9;3.6;7.5;38.5;10.9;5.6;1.9;2.3;1.4;-15;11160;34070;3.1
362;6442;15069;20180;38.4;11.7;20.4;10.2;13.7;11.9;8.7;;6.3;26.2;68.7;57.2;2.9;8.6;30.1;9.8;5.7;2.6;1.9;1.2;-14.3;12440;32110;2.6
363;7261;14594;18350;36.1;23.6;47.3;31.1;29.3;25.9;16.4;13.8;15;39.9;51.1;40.1;3.9;7.1;45.5;9.4;8.1;2.2;3.8;2.1;-14.1;9710;31580;3.3
364;6432;14749;20750;45.7;16.8;;22.5;19;16.3;11;;7.1;31.5;72.1;65.4;2.9;3.8;28.6;8.4;6.5;2.8;2.2;1.5;-15.6;10700;35330;3.3
365;6970;14359;19900;41.9;16.1;;20.8;22;19.5;9.4;9.7;10.9;30.2;58.9;49.4;2.7;6.8;39.7;10;5.9;1.9;2.7;1.3;-14.5;11090;32110;2.9
366;6663;14462;18800;37.2;20;;24;22;20.9;16.5;15.8;13.3;34.3;60.1;51.5;3.5;5.1;36.7;9.5;7.7;2.5;3.3;1.9;-14;10570;31160;2.9
367;6589;14984;17990;32.5;21.5;30.8;25.9;26.2;22.2;16.5;13.1;12.3;40.2;58.8;50.8;3.9;4.1;35.5;10.7;8.5;3;3.4;2.1;-13.5;10270;29770;2.9
368;6556;15125;23310;54.7;11.9;;15.9;15.5;9.6;8.2;;5.2;26.7;78.2;69.9;2.5;5.8;27.7;8.4;3.4;1.4;1.2;0.8;-17.7;12230;41350;3.4
369;6502;14656;20350;42.3;12.9;;15.7;14.8;14.9;7.5;;7;29.5;62;53.5;3.3;5.2;36.7;9.2;6.3;2.3;2.6;1.4;-14.2;12120;33000;2.7
370;6998;13885;19970;41.8;15.1;;18.5;20.7;16.9;10.1;8.6;9;31.6;56.9;49.8;2.4;4.7;43.3;7.6;6.4;1.8;3.2;1.4;-14.2;11430;30810;2.7
371;7361;14312;21880;53.9;14.3;;15.9;20.8;20.4;10.2;9.1;8.2;23.7;44.7;34.8;3.1;6.8;44.3;30.6;3;0.9;1.4;0.7;-22.6;11500;41580;3.6
372;6187;13999;19520;41.2;17.3;28.7;22.3;19.2;17.2;10.6;;8.7;35.1;66.6;58;3.2;5.4;33.1;7.3;7.4;2.7;2.9;1.8;-14.4;11090;31790;2.9
373;6414;14203;20210;40.4;14.6;;19;15.2;13.6;10.9;13.7;9.2;28.4;66;52.7;2.6;10.7;32;10.9;5.9;2;2.5;1.4;-14.8;11680;34470;3
374;6210;14081;19340;39.4;17.4;;19.5;22.3;17.3;12.5;;5.4;29.6;67.9;61.4;3.2;3.3;29.7;8;8.3;3.3;3.1;1.9;-13.9;11300;30730;2.7
375;6116;13949;20640;45;14.3;23.3;18.2;17.3;13;8.3;;7.2;30.9;68.8;61.2;3.7;3.9;30.2;9.2;6.5;2.7;2.3;1.5;-14.7;11690;32560;2.8
376;6357;14244;20110;44.7;18.8;;19.4;21.6;18.8;16.1;14.1;9.4;36.3;66.9;59.2;3.2;4.5;33.1;8.3;7.3;2.5;3;1.8;-15.6;10560;34650;3.3
377;6485;13556;19570;40.8;17;;18.6;21.4;19.4;11.9;12;11.2;31.4;56;48.1;3.2;4.7;43;8.4;6.5;2.1;2.9;1.5;-13.9;11140;31090;2.8
378;6096;13910;18470;36;22.3;35.6;30.4;24.9;24.1;14.3;12.7;11.9;41;60.1;50.8;3.2;6.1;36.6;8.9;8.2;2.9;3.4;1.9;-13.8;10360;30740;3
379;6129;14003;28080;63.9;5.8;;;;;;;5;14;90.6;83.1;3.5;4;19.8;6.5;2.6;1.1;1;0.5;-19.5;15120;48020;3.2
380;5833;13207;18510;38.4;22.1;39.6;28.2;24.5;21.1;14.2;;9.5;41.5;64.1;53.6;3.1;7.4;30.7;9.1;10.1;3.1;4.6;2.4;-14;10030;31550;3.1
381;6275;13474;19860;41.2;15.4;;20;17.9;17.2;11;10.4;8.4;35.3;60.4;52.1;2.9;5.4;39.5;8.9;5.6;2.3;2;1.3;-14.4;11270;32240;2.9
382;6462;13246;19740;39.7;15;;20.3;17.3;15.7;10.8;12.3;9.8;30.9;57;47.7;2.2;7.1;42.7;10.3;4.7;1.7;1.9;1.1;-14.7;11330;32180;2.8
383;6592;12851;19700;43;17.4;27.4;24.8;22.9;19.4;11.4;;10.7;34.5;54.8;45.9;2.5;6.4;44.6;8.9;6.1;1.8;3;1.3;-14.4;10960;32240;2.9
384;6857;14446;24110;61.2;8.8;;9.2;9.2;9;8;;6.7;12.8;72.7;59.8;2.9;10;25.9;21;2.1;1.1;0.6;0.4;-21.7;13570;44020;3.2
385;6219;13290;18350;33.9;20.8;;28;26.1;22.6;14.5;16.7;14.2;39.6;50.8;42.2;4.6;4;46.6;8.6;7.2;2.3;3.2;1.7;-13.2;10480;29600;2.8
386;6320;13178;19050;37.5;19.2;;22.8;23.3;22.8;13.6;14.3;13.7;36.2;56;46.2;2.6;7.2;41.6;9.7;6.6;1.9;3.1;1.6;-13.9;10600;31810;3
387;5498;14025;21300;44.9;7;;;7.3;;;;5.1;15.1;79.6;72.3;2.4;4.9;21.3;9;5;3;1.2;0.8;-14.9;13950;31680;2.3
388;6466;13278;19610;40.9;17.4;;19.7;21;20.9;11.2;16.3;13.2;31.3;56.7;46;2.2;8.5;44.1;9.6;4.8;1.5;2.3;1;-15.2;11050;32590;3
389;5931;12540;20660;44.7;13.8;;22.4;14.7;12.1;9.5;;6;29.5;65.7;47.7;2.6;15.4;32.1;14.1;5.3;1.8;2.2;1.3;-17.2;11970;38250;3.2
390;6074;13863;20820;42.1;11;;10.1;11.7;11.7;9.7;;7.6;22.4;69.2;60.1;2.8;6.3;30;10.3;5.3;2.4;1.8;1.1;-14.8;12690;32990;2.6
391;6101;13178;20240;43.4;16.9;27.4;18;19.5;15.7;12.6;15.2;9.8;29.4;68.5;60;3.4;5.1;32.3;7.6;7.1;2;3.4;1.7;-15.5;11140;36100;3.2
392;6119;13116;21320;48.6;11.3;;15.4;12;12.4;7.1;;6.5;24.2;67.4;58.5;2.3;6.6;33.5;10.3;4.9;1.9;2;1;-16.1;12560;34730;2.8
393;5980;12496;20490;43.1;13.5;;16;13.4;13.1;9.9;15.5;10.3;22.6;62.5;51.8;2.1;8.6;35.6;11.7;5.2;1.8;2.4;1;-15;12010;32810;2.7
394;6874;13008;20700;46.4;15.4;22.8;21.8;20.4;15.1;9.6;;5.2;26;60.5;50.8;3.4;6.3;39.5;10.1;6.6;1.8;3;1.8;-16.7;11490;37150;3.2
395;6749;13380;20980;49.9;14.4;;19.6;21.5;16.3;8.4;;7.7;24;53.7;45.3;3.1;5.3;47.1;11.7;4.9;1.6;2.1;1.2;-17.4;11870;37410;3.2
396;5799;12832;19420;41.3;18.1;;24;20.1;16.5;12.2;16.4;10.4;32;63.8;55.8;3.1;4.9;35.4;8.3;6.9;2.4;2.9;1.6;-14.4;10960;33210;3
397;5930;13127;21830;53.1;12.2;;15.6;15;12.3;7.6;;6.4;26.5;69.3;53.1;2.5;13.7;28.9;15.3;4.6;1.9;1.7;1;-18.1;12370;39700;3.2
398;6654;12958;20040;42.3;16.3;;24.8;16.5;18.1;12.4;12.4;10;29.4;57.2;47;3.2;7;43.6;8.8;5.4;1.4;2.6;1.4;-15;11170;32790;2.9
399;5886;14066;22060;49.7;11.8;;14.3;12;11.4;9.2;;5.1;22.1;71.2;63.4;3.1;4.7;29.9;10.9;5;2.2;1.6;1.2;-17;12510;35340;2.8
400;5801;12694;20420;45.9;14.3;;17;16.1;14.8;11.2;;8.6;25.7;65.9;58.2;3.1;4.6;34.8;7.7;6;2.3;2.4;1.3;-14.4;11860;32190;2.7
401;5376;12806;20030;44.4;14.9;23.7;17;19.5;13.3;8.3;;7.3;30.4;72.3;62.2;3.3;6.8;27.4;8.7;7;2.7;2.9;1.4;-15.4;11550;33160;2.9
402;5236;12287;17230;32.7;27.2;41.4;36.9;28.5;28;17.2;;14.1;48.7;62.2;52.3;3.7;6.2;30.4;8.5;11.8;3.6;5.6;2.6;-12.9;9650;29870;3.1
403;6137;12602;20690;45.1;12;;16.2;13.6;12.3;9.6;;7.3;22.5;59.5;50.8;2.6;6.1;39.3;11.2;5.1;1.8;2.1;1.2;-15.1;12490;33490;2.7
404;6015;12496;20310;40.5;14.7;;17.9;18.8;13.4;11.5;10.7;9.4;28.6;61.6;50.5;2.5;8.6;36.5;10.8;5.7;1.8;2.4;1.5;-14.6;11650;33400;2.9
405;5763;12815;20420;52.2;16.8;;16.4;18.2;17;17.3;;9.7;25.4;76.9;62.8;5.6;8.5;25;11.1;4.6;1.8;1.8;1;-17.6;10870;35220;3.2
406;6078;12694;19490;39.3;18.6;;21;24.2;19.6;12.5;17.4;10.8;34.9;56.3;44.6;2.9;8.8;40.5;12.7;5.8;1.9;2.4;1.5;-15.3;10600;34130;3.2
407;5902;11800;18640;35.6;20.6;32.5;28.8;26.3;19.8;15.3;12.4;11.9;40;56.1;47;3.4;5.7;41.5;9.9;7.3;2.1;3.3;1.9;-14.8;10530;31280;3
