COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;00358;Allevard;CHAR;5
CODGEO;Code géographique;Code géographique;00359;Eu;CHAR;5
CODGEO;Code géographique;Code géographique;00360;Valserhône;CHAR;5
CODGEO;Code géographique;Code géographique;00361;Le Grau-du-Roi;CHAR;5
CODGEO;Code géographique;Code géographique;00362;Clisson;CHAR;5
CODGEO;Code géographique;Code géographique;00451;Belleville-en-Beaujolais;CHAR;5
CODGEO;Code géographique;Code géographique;00452;Esch-sur-Alzette (LUX)-Villerupt (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00453;Le Pont-de-Beauvoisin;CHAR;5
CODGEO;Code géographique;Code géographique;00454;Honfleur;CHAR;5
CODGEO;Code géographique;Code géographique;00455;Jœuf;CHAR;5
CODGEO;Code géographique;Code géographique;00456;Redon;CHAR;5
CODGEO;Code géographique;Code géographique;00457;Saint-Laurent-de-la-Salanque;CHAR;5
CODGEO;Code géographique;Code géographique;00458;Marmande;CHAR;5
CODGEO;Code géographique;Code géographique;00459;Tournon-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;00460;Saint-Dizier;CHAR;5
CODGEO;Code géographique;Code géographique;00461;Beaucaire;CHAR;5
CODGEO;Code géographique;Code géographique;00462;Dinard;CHAR;5
CODGEO;Code géographique;Code géographique;00463;Persan-Beaumont-sur-Oise;CHAR;5
CODGEO;Code géographique;Code géographique;00464;Alençon;CHAR;5
CODGEO;Code géographique;Code géographique;00465;Sallanches;CHAR;5
CODGEO;Code géographique;Code géographique;00551;Lunel;CHAR;5
CODGEO;Code géographique;Code géographique;00552;Arles;CHAR;5
CODGEO;Code géographique;Code géographique;00553;Montélimar;CHAR;5
CODGEO;Code géographique;Code géographique;00554;Mâcon;CHAR;5
CODGEO;Code géographique;Code géographique;00555;Bergerac;CHAR;5
CODGEO;Code géographique;Code géographique;00556;Saint-Omer;CHAR;5
CODGEO;Code géographique;Code géographique;00557;Brive-la-Gaillarde;CHAR;5
CODGEO;Code géographique;Code géographique;00558;Belfort;CHAR;5
CODGEO;Code géographique;Code géographique;00559;Vienne;CHAR;5
CODGEO;Code géographique;Code géographique;00651;Montbéliard;CHAR;5
CODGEO;Code géographique;Code géographique;00652;Valence;CHAR;5
CODGEO;Code géographique;Code géographique;00653;Genève (SUI)-Annemasse (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00751;Bayonne (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00752;Béthune;CHAR;5
CODGEO;Code géographique;Code géographique;00753;Saint-Étienne;CHAR;5
CODGEO;Code géographique;Code géographique;00754;Avignon;CHAR;5
CODGEO;Code géographique;Code géographique;00755;Rouen;CHAR;5
CODGEO;Code géographique;Code géographique;00756;Douai-Lens;CHAR;5
CODGEO;Code géographique;Code géographique;00757;Toulon;CHAR;5
CODGEO;Code géographique;Code géographique;00758;Toulouse;CHAR;5
CODGEO;Code géographique;Code géographique;00759;Marseille-Aix-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;00760;Lyon;CHAR;5
CODGEO;Code géographique;Code géographique;00851;Paris;CHAR;5
CODGEO;Code géographique;Code géographique;01101;Saint-Martin-du-Frêne;CHAR;5
CODGEO;Code géographique;Code géographique;01102;Échenevex;CHAR;5
CODGEO;Code géographique;Code géographique;01103;Versonnex;CHAR;5
CODGEO;Code géographique;Code géographique;01104;Châtillon-la-Palud;CHAR;5
CODGEO;Code géographique;Code géographique;01105;Chalamont;CHAR;5
CODGEO;Code géographique;Code géographique;01106;Polliat;CHAR;5
CODGEO;Code géographique;Code géographique;01107;Saint-Maurice-de-Gourdans;CHAR;5
CODGEO;Code géographique;Code géographique;01108;Buellas;CHAR;5
CODGEO;Code géographique;Code géographique;01109;Vonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01110;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01111;Culoz;CHAR;5
CODGEO;Code géographique;Code géographique;01112;Loyettes;CHAR;5
CODGEO;Code géographique;Code géographique;01113;Attignat;CHAR;5
CODGEO;Code géographique;Code géographique;01114;Feillens;CHAR;5
CODGEO;Code géographique;Code géographique;01115;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code géographique;01116;Montagnat;CHAR;5
CODGEO;Code géographique;Code géographique;01117;Villieu-Loyes-Mollon;CHAR;5
CODGEO;Code géographique;Code géographique;01118;Péron;CHAR;5
CODGEO;Code géographique;Code géographique;01119;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01120;Replonges;CHAR;5
CODGEO;Code géographique;Code géographique;01121;Jujurieux;CHAR;5
CODGEO;Code géographique;Code géographique;01122;Crozet;CHAR;5
CODGEO;Code géographique;Code géographique;01123;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code géographique;01124;Nantua;CHAR;5
CODGEO;Code géographique;Code géographique;01125;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code géographique;01126;Crottet-Pont-de-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01127;Saint-Didier-sur-Chalaronne-Thoissey;CHAR;5
CODGEO;Code géographique;Code géographique;01128;Villars-les-Dombes;CHAR;5
CODGEO;Code géographique;Code géographique;01129;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code géographique;01130;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01201;Bâgé-Dommartin;CHAR;5
CODGEO;Code géographique;Code géographique;01202;Béligneux;CHAR;5
CODGEO;Code géographique;Code géographique;01203;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code géographique;01204;Lagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01205;Divonne-les-Bains (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;01301;Belley;CHAR;5
CODGEO;Code géographique;Code géographique;01302;Meximieux;CHAR;5
CODGEO;Code géographique;Code géographique;01303;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01401;Gex;CHAR;5
CODGEO;Code géographique;Code géographique;01402;Oyonnax;CHAR;5
CODGEO;Code géographique;Code géographique;01501;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;02101;Vailly-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02102;Sissonne;CHAR;5
CODGEO;Code géographique;Code géographique;02103;La Ferté-Milon;CHAR;5
CODGEO;Code géographique;Code géographique;02104;Braine;CHAR;5
CODGEO;Code géographique;Code géographique;02105;Nesles-la-Montagne;CHAR;5
CODGEO;Code géographique;Code géographique;02106;Marle;CHAR;5
CODGEO;Code géographique;Code géographique;02107;Saint-Gobain;CHAR;5
CODGEO;Code géographique;Code géographique;02108;Venizel;CHAR;5
